input_name,gbif_matched_scientificName,gbif_accepted_usageKey,wfo_match_id,wfo_accepted_name,gbif_native_countries,gbif_native_country_codes,gbif_native_total_records,gbif_native_sampled_records,gbif_native_confidence
Oxalis triangularis A. St.-Hil. var. purpurea,Oxalis triangularis A.St.-Hil.,7156971,wfo-0001089468,Oxalis triangularis A.St.-Hil.,Argentina | Brazil,AR | BR,293,293,high
Pachira affinis Decne.,Pachira affinis (Mart.) Decne.,3152236,wfo-0000397363,Pachira insignis (Sw.) Savigny,Brazil | Venezuela (Bolivarian Republic of),BR | VE,23,23,low
Pachira aquatica Aubl.,Pachira aquatica Aubl.,3152235,wfo-0000397427,Pachira aquatica Aubl.,Argentina | Brazil | Colombia | Ecuador | Mexico | Venezuela (Bolivarian Republic of),AR | BR | CO | EC | MX | VE,369,369,high
Palisota schweinfurthii C.B.Clarke,Palisota schweinfurthii C.B.Clarke,2763810,wfo-0000488837,Palisota schweinfurthii C.B.Clarke,,,0,0,none
Passiflora citrina J.M.Macdougal,Passiflora citrina J.M.Mac Dougal,3587717,wfo-0000479819,Passiflora citrina J.M.MacDougal,,,0,0,none
Passiflora coriacea Juss.,Passiflora coriacea Juss.,7565198,wfo-0000480045,Passiflora coriacea Juss.,Colombia,CO,4,4,very_low
Passiflora edulis Sims.,Passiflora edulis Sims,2874190,wfo-0000479905,Passiflora edulis Sims,Brazil | Chinese Taipei | Colombia,BR | CO | TW,1486,900,high
Passiflora foetida L.,Passiflora foetida L.,2874211,wfo-0000479879,Passiflora foetida L.,Argentina | Australia | Bolivia (Plurinational State of) | Brazil | Chinese Taipei | Colombia | Mexico,AR | AU | BO | BR | CO | MX | TW,1890,900,high
Passiflora incarnata L.,Passiflora incarnata L.,2874218,wfo-0001090757,Passiflora incarnata L.,United States of America,US,9,9,very_low
Passiflora quadrangularis L.,Passiflora quadrangularis L.,2874183,wfo-0000480101,Passiflora quadrangularis L.,Bahamas | Brazil | Colombia | Fiji | Mexico,BR | BS | CO | FJ | MX,56,56,medium
Passiflora x violacea 'Atropurpurea',Passiflora × violacea Loisel.,7152266,wfo-0000745854,Passiflora violacea Loisel.,,,0,0,none
Phyllanthus inflatus Hutch,Phyllanthus inflatus Hutch.,5381231,wfo-0000271217,Phyllanthus inflatus Hutch.,,,0,0,none
Phyllanthus reticulatus Poir.,Phyllanthus reticulatus Poir.,5382478,wfo-0000271947,Phyllanthus reticulatus Poir.,Australia | Chinese Taipei | India,AU | IN | TW,45,45,low
Pilea involucrata (Sims) C.H.Wright & Dewar 'Moon Walley',Pilea involucrata (Sims) C.H.Wright & Dewar,5669908,wfo-0001260895,Pilea ovalis Griseb.,,,0,0,none
Pilea involucrata (Sims) C.H.Wright & Dewar 'Norfolk',Pilea involucrata (Sims) C.H.Wright & Dewar,5669908,wfo-0001260895,Pilea ovalis Griseb.,,,0,0,none
Piper betle L.,Piper betle L.,4187904,wfo-0000479518,Piper betle L.,Chinese Taipei | India | Papua New Guinea,IN | PG | TW,10,10,low
Piper kadzura (Choisy) Ohwi.,Piper kadsura (Choisy) Ohwi,4183601,wfo-0000486229,Piper kadsura (Choisy) Ohwi,Chinese Taipei | Japan,JP | TW,80,80,medium
Piper longum L.,Piper longum L.,3086338,wfo-0000486013,Piper longum L.,,,0,0,none
Piper magnificum Trel.,Piper magnificum Gentil ex Trel.,7860851,wfo-0001092849,Piper magnificum hort. ex Gentil,,,0,0,none
Plumeria alba L.,Plumeria alba L.,3169673,wfo-0000279064,Plumeria alba L.,,,1,1,very_low
Plumeria rubra L.,Plumeria rubra L.,3169674,wfo-0000279184,Plumeria rubra L.,Colombia,CO,2,2,very_low
Polyalthia suberosa (Raxb.) Thwaites,Polyalthia suberosa (Roxb.) Thwaites,3156325,wfo-0001066143,Polyalthia suberosa (Roxb.) Thwaites,,,1,1,very_low
Pseudorhipsalis ramulosa (Salm-Dyck) Barthlott ,Pseudorhipsalis ramulosa (Salm-Dyck) Barthlott,7283547,wfo-0000397959,Kimnachia,Brazil | Mexico,BR | MX,3,3,very_low
Pseudospondias microcarpa Engl.,Pseudospondias microcarpa (A.Rich.) Engl.,3660956,wfo-0000393818,Pseudospondias microcarpa Engl.,Guinea-Bissau,GW,1,1,very_low
Psidium cattleyanum Afzel. ex Sabine 'Limon',Psidium cattleianum Afzel. ex Sabine,5420641,wfo-0000284334,Psidium,Brazil | Seychelles,BR | SC,1439,900,high
Psidium cattleyanum Afzel. ex Sabine 'Red-Macrocarpa',Psidium cattleianum Afzel. ex Sabine,5420641,wfo-0000284334,Psidium,Brazil | Seychelles,BR | SC,1439,900,high
Psidium cattleyanum Afzel. ex Sabine 'Rojo',Psidium cattleianum Afzel. ex Sabine,5420641,wfo-0000284334,Psidium,Brazil | Seychelles,BR | SC,1439,900,high
Psidium friedrichstahlianum (O.Berg) Niedenzu.,Psidium friedrichsthalianum (O.Berg) Nied.,5420358,wfo-0000284404,Psidium friedrichsthalianum (O.Berg) Nied.,Brazil | Colombia | Costa Rica,BR | CO | CR,71,71,medium
Psidium guajava L. 'Bankog's Gigant',Psidium guajava L.,5420380,wfo-0000284421,Psidium guajava L.,Argentina | Australia | Brazil | Chile | China | Chinese Taipei | Colombia | Jamaica | Timor-Leste,AR | AU | BR | CL | CN | CO | JM | TL | TW,95,95,medium
Psidium guajava L. 'Guajho Blanco',Psidium guajava L.,5420380,wfo-0000284421,Psidium guajava L.,Argentina | Australia | Brazil | Chile | China | Chinese Taipei | Colombia | Jamaica | Timor-Leste,AR | AU | BR | CL | CN | CO | JM | TL | TW,95,95,medium
Psidium guajava L. 'Orange Pulp',Psidium guajava L.,5420380,wfo-0000284421,Psidium guajava L.,Argentina | Australia | Brazil | Chile | China | Chinese Taipei | Colombia | Jamaica | Timor-Leste,AR | AU | BR | CL | CN | CO | JM | TL | TW,95,95,medium
Psidium guajava L. 'Rosa Cubana',Psidium guajava L.,5420380,wfo-0000284421,Psidium guajava L.,Argentina | Australia | Brazil | Chile | China | Chinese Taipei | Colombia | Jamaica | Timor-Leste,AR | AU | BR | CL | CN | CO | JM | TL | TW,95,95,medium
Psidium guineense Sw.,Psidium guineense Sw.,5420509,wfo-0000284428,Psidium guineense Sw.,,,2023,0,high
Rauvolfia tetraphylla,Rauvolfia tetraphylla L.,3169782,wfo-0000295195,Rauvolfia tetraphylla L.,Colombia | Ecuador,CO | EC,4,4,very_low
Ravenala madagascariensis Sonn.,Ravenala madagascariensis Sonn.,2763095,wfo-0000509912,Ravenala madagascariensis Sonn.,Madagascar,MG,2,2,very_low
Rhipsalis baccifera (J.S.Muell.) Stearn,Rhipsalis baccifera (J.S.Muell.) Stearn,3084036,wfo-0000399853,Rhipsalis baccifera (Sol. ex J.S.Muell.) Stearn,Argentina | Bolivia (Plurinational State of) | Brazil | Central African Republic | Colombia | Comoros | Costa Rica | Ecuador | French Guiana | Guyana | Mexico | Paraguay | Seychelles | South Africa | Venezuela (Bolivarian Republic of),AR | BO | BR | CF | CO | CR | EC | GF | GY | KM | MX | PY | SC | VE | ZA,242,242,high
Rhipsalis cereuscula Haw.,Rhipsalis cereuscula Haw.,7659514,wfo-0000399868,Rhipsalis cereuscula Haw.,Argentina | Brazil | Paraguay,AR | BR | PY,318,318,high
Rhipsalis pilocarpa Loefgr.,Rhipsalis pilocarpa Loefgr.,7280718,wfo-0000399667,Rhipsalis pilocarpa Loefgr.,Argentina | Brazil,AR | BR,46,46,low
Rosenbergiodendron formosum (Jacq.) Fagerl.,Rosenbergiodendron formosum (Jacq.) Fagerl.,2904221,wfo-0000298039,Rosenbergiodendron formosum (Jacq.) Fagerl.,Colombia | Ecuador,CO | EC,2,2,very_low
Sacharum officinarum L.,Saccharum officinarum L.,2703912,wfo-0000896660,Saccharum officinarum L.,Colombia | United Kingdom of Great Britain and Northern Ireland,CO | GB,20,20,low
Salacca zalacca (Gaertn.) Voss.,Salacca zalacca (Gaertn.) Voss,2731764,wfo-0000300111,Salacca zalacca (Gaertn.) Voss,,,0,0,none
Sauropus androgynus (L.) Merr.,Sauropus androgynus (L.) Merr.,9197670,wfo-0001424148,Breynia androgyna (L.) Chakrab. & N.P.Balakr.,Australia,AU,2,2,very_low
Selenicereus chrysocardium (Alexander) Kimnach,Selenicereus chrysocardius (Alexander) Kimnach,5621256,wfo-0000670160,Epiphyllum chrysocardium Alexander,,,0,0,none
Setaria palmifolia (Koenig) Stapf,Setaria palmifolia (J.Koenig) Stapf,2702958,wfo-0000899427,Setaria palmifolia (J.Koenig) Stapf,Australia | Brazil | Chinese Taipei | New Zealand | Papua New Guinea | Timor-Leste | United States of America,AU | BR | NZ | PG | TL | TW | US,66,66,medium
Solandra maxima (Sessé et Moc.) P.Green.,Solandra maxima (Moc. & Sessé) P.S.Green,5581538,wfo-0001025619,Solandra maxima (Sessé & Moc.) P.S.Green,Spain,ES,4,4,very_low
Spathiphyllum cochlearispatum (Liebm.) Engl.,Spathiphyllum cochlearispathum (Liebm.) Engl.,2869661,wfo-0000312000,Spathiphyllum cochlearispathum (Liebm.) Engl.,,,0,0,none
Spathodea campanulata Beauv.,Spathodea campanulata Beauverd,3172574,wfo-0000779723,Spathodea campanulata P.Beauv.,Australia | Kenya | Malaysia,AU | KE | MY,3,3,very_low
Spondias dulcis,Spondias dulcis Parkinson,3190595,wfo-0000435462,Spondias dulcis G.Forst.,Papua New Guinea,PG,2,2,very_low
Spondias mombin L.,Spondias mombin L.,3190593,wfo-0000435470,Spondias mombin L.,Bolivia (Plurinational State of) | Brazil | Colombia | Guyana | Mexico | Nicaragua | Panama | Peru | Venezuela (Bolivarian Republic of),BO | BR | CO | GY | MX | NI | PA | PE | VE,619,619,high
Strelitzia alba (L.) Skeels.,Strelitzia alba (L.f.) Skeels,2763106,wfo-0000561814,Strelitzia alba (L.f.) Skeels,,,0,0,none
Strelitzia nicolai Reg. et Körn.,Strelitzia nicolai Regel & Körn.,2763112,wfo-0000561967,Strelitzia nicolai Regel & Körn.,,,0,0,none
Strophanthus gratus (Wall. et Hook.) Baill.,Strophanthus gratus (Wall. & Hook.) Baill.,8685745,wfo-0000317279,Strophanthus gratus (Wall. & Hook. ex Benth.) Baill.,,,2,2,very_low
Strophanthus petersianus Klotzsch.,Strophanthus petersianus Klotzsch,3619876,wfo-0000317320,Strophanthus petersianus Klotzsch,,,0,0,none
Syagrus romanzoffianum (Cham.) Glassm,Syagrus romanzoffiana (Cham.) Glassman,5293897,wfo-0000317885,Syagrus romanzoffiana (Cham.) Glassman,Argentina | Brazil | Paraguay | Seychelles | Uruguay,AR | BR | PY | SC | UY,324,324,high
Tamarindus indica L.,Tamarindus indica L.,2975768,wfo-0000170926,Tamarindus indica L.,Australia | Chinese Taipei | India,AU | IN | TW,24,24,low
Terminalia catappa L.,Terminalia catappa L.,3189394,wfo-0000406800,Terminalia catappa L.,Australia | Chinese Taipei | Nauru | Papua New Guinea | Seychelles | Timor-Leste | Tonga | Vanuatu,AU | NR | PG | SC | TL | TO | TW | VU,77,77,medium
Theobroma cacao L,Theobroma cacao L.,3152205,wfo-0000458440,Theobroma cacao L.,Angola | Australia | Belize | Benin | Bolivia (Plurinational State of) | Brazil | Cameroon | Colombia | Costa Rica | Côte d’Ivoire | Dominican Republic | Ecuador | Guatemala | Guyana | Indonesia | Jamaica | Malaysia | Mexico | Nicaragua | Peru | Puerto Rico | Suriname | Trinidad and Tobago | United Kingdom of Great Britain and Northern Ireland | United States of America | Venezuela (Bolivarian Republic of) | Virgin Islands (U.S.),AO | AU | BJ | BO | BR | BZ | CI | CM | CO | CR | DO | EC | GB | GT | GY | ID | JM | MX | MY | NI | PE | PR | SR | TT | US | VE | VI,1916,900,high
Thunbergia mysorensis (Wight) T.Anderson ,Thunbergia mysorensis (Wight) T.Anderson,7972115,wfo-0000510530,Thunbergia mysorensis (Wight) T.Anderson,,,0,0,none
Vanilla planifolia Andrews,Vanilla planifolia Andrews,2803398,wfo-0000331533,Vanilla planifolia Andrews,Colombia | Dominican Republic | Mexico,CO | DO | MX,8,8,very_low
Vanilla pompona Schiede,Vanilla pompona Schiede,2803463,wfo-0000331540,Vanilla pompona Schiede,Brazil | Colombia | Costa Rica,BR | CO | CR,70,70,medium
Zingiber officinale Roscoe,Zingiber officinale Roscoe,2757280,wfo-0000617397,Zingiber officinale Roscoe,Chinese Taipei | India | Jamaica | Japan | South Africa,IN | JM | JP | TW | ZA,20,20,low
