input_name,gbif_matched_scientificName,gbif_accepted_usageKey,wfo_match_id,wfo_accepted_name,gbif_native_countries,gbif_native_country_codes,gbif_native_total_records,gbif_native_sampled_records,gbif_native_confidence
Coffea canephora Pierre ex A.Froehner,Coffea canephora Pierre ex A.Froehner,2895528,wfo-0000910571,Coffea canephora Pierre ex A.Froehner,"Afghanistan | Angola | Benin | Brunei Darussalam | Cameroon | Central African Republic | Congo | Congo, Democratic Republic of the | Costa Rica | Côte d’Ivoire | Dominica | Equatorial Guinea | Gabon | Ghana | Guinea | Indonesia | Jamaica | Madagascar | Malaysia | Mayotte | Netherlands | New Caledonia | Nigeria | Philippines | Portugal | Puerto Rico | Réunion | Sao Tome and Principe | Sierra Leone | South Africa | Sri Lanka | Tanzania, United Republic of | Thailand | Trinidad and Tobago | Uganda | United States of America",AF | AO | BJ | BN | CD | CF | CG | CI | CM | CR | DM | GA | GH | GN | GQ | ID | JM | LK | MG | MY | NC | NG | NL | PH | PR | PT | RE | SL | ST | TH | TT | TZ | UG | US | YT | ZA,252,252,high
Colocasia esculenta (L.) Schott.,Colocasia esculenta (L.) Schott,5330776,wfo-0000917419,Colocasia esculenta (L.) Schott,Australia | China | Chinese Taipei | Colombia | India | Indonesia | Japan | Papua New Guinea | Philippines | Spain | Uganda,AU | CN | CO | ES | ID | IN | JP | PG | PH | TW | UG,80,80,medium
Colvillea racemosa Bojer ex Hook.,Colvillea racemosa Bojer ex Hook.,10704829,wfo-0000186694,Colvillea racemosa Bojer,,,0,0,none
Cordia myxa L. non Forssk.,Cordia myxa L.,5341290,wfo-0000620765,Cordia myxa L.,Australia,AU,7,7,very_low
Couroupita guianensis Auhl.,Couroupita guianensis Aubl.,3082562,wfo-0000775148,Couroupita guianensis Aubl.,Brazil | Colombia | Ecuador | Nicaragua,BR | CO | EC | NI,104,104,medium
Ctenanthe amabilis (E.Morren) H.A.Kenn. & Nicolson,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson,2762431,wfo-0000365193,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson,Brazil,BR,1,1,very_low
Cubanola domingensis (Britton) Aiella,Cubanola domingensis (Britton) Aiello,2893015,wfo-0000933427,Cubanola domingensis (Britton) Aiello,Dominican Republic,DO,1,1,very_low
Curculigo capitulata (Lour.) Kantze.,Curculigo capitulata (Lour.) Kuntze,2852556,wfo-0000764772,Curculigo capitulata (Lour.) Kuntze,Australia | China | Chinese Taipei,AU | CN | TW,8,8,very_low
Cyanastrum cordifolium Oliv.,Cyanastrum cordifolium Oliv.,2860900,wfo-0000764829,Cyanastrum cordifolium Oliv.,,,0,0,none
Cyperus diffusus Vahl.,Cyperus diffusus Vahl,2713932,wfo-0000371726,Cyperus,Chinese Taipei | Colombia,CO | TW,9,9,very_low
Delonix regia (Bojer) Raf.,Delonix regia (Bojer ex Hook.) Raf.,2956176,wfo-0000166389,Delonix regia (Bojer ex Hook.) Raf.,Australia | Colombia,AU | CO,10,10,low
Dendrocnide excelsa (Wedd.) Chew.,Dendrocnide excelsa (Wedd.) Chew,4098881,wfo-0000641019,Dendrocnide excelsa (Wedd.) Chew,Australia,AU,50,50,medium
Dichrostachys cinerea (L.) Wight. et Arn.,Dichrostachys cinerea (L.) Wight & Arn.,2975891,wfo-0000195972,Alantsilodendron,Australia | Kenya | Timor-Leste,AU | KE | TL,8,8,very_low
Dioscorea alata L.,Dioscorea alata L.,2754476,wfo-0000388864,Dioscorea alata L.,Australia,AU,2,2,very_low
Dioscorea oppositifolia L.,Dioscorea oppositifolia L.,2754965,wfo-0000393046,Dioscorea oppositifolia L.,,,0,0,none
Dioscorea polystachya Turcz. (Dioscorea batatas),Dioscorea polystachya Turcz.,2754732,wfo-0000393961,Dioscorea polystachya Turcz.,Chinese Taipei,TW,12,12,low
Dischidia bengalensis Colebr.,Dischidia bengalensis Colebr.,3571031,wfo-0000651616,Dischidia bengalensis Colebr.,,,0,0,none
