input_name,gbif_matched_scientificName,gbif_accepted_usageKey,wfo_match_id,wfo_accepted_name,gbif_native_countries,gbif_native_country_codes,gbif_native_total_records,gbif_native_sampled_records,gbif_native_confidence,wfo_native_areas_found_in,wfo_native_countries,wfo_url
Aristolochia zollingeriana Miq,Aristolochia zollingeriana Miq.,5836315,wfo-0000548485,Aristolochia zollingeriana Miq.,Chinese Taipei,TW,4,4,very_low,Asia-Temperate Eastern Asia Nansei-shoto | Asia-Temperate | Eastern Asia | Nansei-shoto | Taiwan | Asia-Tropical Indo-China Vietnam | Asia-Tropical | Indo-China | Vietnam | Malesia Jawa | Malesia | Jawa | Philippines | Sumatera | Provided by: | [C].The World Checklist of Vascular Plants (WCVP) | Synonyms | Aristolochia hastata Klotzsch | Aristolochia hastata | Klotzsch | Aristolochia kankauensis Sasaki | Aristolochia kankauensis | Sasaki | Aristolochia ramosii Merr. | Aristolochia ramosii | Merr. | Aristolochia roxburghiana subsp. kankauensis (Sasaki) Kitam. | Aristolochia roxburghiana subsp. kankauensis | (Sasaki) Kitam. | Aristolochia tagala var. kankaoensis (Sasaki) T.Yamaz. | Aristolochia tagala var. kankaoensis | (Sasaki) T.Yamaz. | Hocquartia kankauensis (Sasaki) Nakai ex Masam. | Hocquartia kankauensis | (Sasaki) Nakai ex Masam. | [A].Aristolochiaceae,Taiwan | Vietnam | Indonesia | Singapore | Timor-Leste | Malaysia | Myanmar | Thailand | Brunei | Philippines | Nigeria,https://www.worldfloraonline.org/taxon/wfo-0000548485
Asplenium nidus L.,Asplenium nidus L.,2650676,wfo-0001108020,Asplenium nidus L.,Australia | Chinese Taipei | India | Malaysia | Papua New Guinea | Seychelles | Tonga | United States of America,AU | IN | MY | PG | SC | TO | TW | US,105,105,medium,Asia-Tropical Malesia Borneo | Asia-Tropical | Malesia | Borneo | Christmas I. | Jawa | Lesser Sunda Is. | Malaya | Maluku | Philippines | Sulawesi | Sumatera | Papuasia Bismarck Archipelago | Papuasia | Bismarck Archipelago | New Guinea | Solomon Is. | Australasia Australia Queensland | Australasia | Australia | Queensland | Pacific Northwestern Pacific Caroline Is. | Pacific | Northwestern Pacific | Caroline Is.,Indonesia | Singapore | Timor-Leste | Malaysia | Myanmar | Thailand | Brunei | Philippines | Canada | Netherlands | Nigeria | Russia | Democratic Republic of the Congo | Papua New Guinea | France | Australia | New Zealand | Solomon Islands | Vanuatu | Fiji,https://www.worldfloraonline.org/taxon/wfo-0001108020
Averrhoa carambola L.,Averrhoa carambola L.,2891641,wfo-0000557405,Averrhoa carambola L.,Chinese Taipei,TW,2,2,very_low,Asia-Tropical Malesia Jawa | Asia-Tropical | Malesia | Jawa | Maluku | Sulawesi,Indonesia | Singapore | Timor-Leste | Malaysia | Myanmar | Thailand | Brunei | Philippines | Nigeria | Democratic Republic of the Congo | Netherlands,https://www.worldfloraonline.org/taxon/wfo-0000557405
Averrhoa carambola L. ’B10’,Averrhoa carambola L.,2891641,wfo-0000557405,Averrhoa carambola L.,Chinese Taipei,TW,2,2,very_low,Asia-Tropical Malesia Jawa | Asia-Tropical | Malesia | Jawa | Maluku | Sulawesi,Indonesia | Singapore | Timor-Leste | Malaysia | Myanmar | Thailand | Brunei | Philippines | Nigeria | Democratic Republic of the Congo | Netherlands,https://www.worldfloraonline.org/taxon/wfo-0000557405
Averrhoa carambola L. 'Fwang Tung'’,Averrhoa carambola L.,2891641,wfo-0000557405,Averrhoa carambola L.,Chinese Taipei,TW,2,2,very_low,Asia-Tropical Malesia Jawa | Asia-Tropical | Malesia | Jawa | Maluku | Sulawesi,Indonesia | Singapore | Timor-Leste | Malaysia | Myanmar | Thailand | Brunei | Philippines | Nigeria | Democratic Republic of the Congo | Netherlands,https://www.worldfloraonline.org/taxon/wfo-0000557405
Begonia listada L.B.Sm. et Wassh.,Begonia listada L.B.Sm. & Wassh.,4157039,wfo-0000824596,Begonia listada L.B.Sm. & Wassh.,,,0,0,none,,,https://www.worldfloraonline.org/taxon/wfo-0000824596
Begonia solimutata L.B.Sm. et Wassh.,Begonia solimutata L.B.Sm. & Wassh.,7646487,wfo-0000825560,Begonia soli-mutata L.B.Sm. & Wassh.,,,0,0,none,Southern America Brazil Brazil North | Southern America | Brazil | Brazil North | Provided by: | [B].The World Checklist of Vascular Plants (WCVP),Brazil,https://www.worldfloraonline.org/taxon/wfo-0000825560
Brachychilum horsfieldii (R.Br. ex Wallich) Petersen,Brachychilum horsfieldii (R.Br. ex Wall.) Petersen,2758650,wfo-0000436106,Hedychium horsfieldii Wall.,,,0,0,none,,,https://www.worldfloraonline.org/taxon/wfo-0000436106
Breynia nivosa (W.G.Sm.) Small.,Breynia nivosa (W.Bull) Small,5383031,wfo-0000412108,Breynia disticha J.R.Forst. & G.Forst.,Australia | New Caledonia | Norfolk Island | Vanuatu,AU | NC | NF | VU,9,9,very_low,Pacific Southwestern Pacific New Caledonia | Pacific | Southwestern Pacific | New Caledonia | Vanuatu,Canada | United States | Vanuatu,https://www.worldfloraonline.org/taxon/wfo-0000412108
Brownea latifolia Jacq.,Brownea latifolia Jacq.,2970480,wfo-0000184964,Brownea coccinea subsp. capitella (Jacq.) D.Velázquez & G.Agostini,,,0,0,none,Southern America Brazil Brazil North | Southern America | Brazil | Brazil North | Caribbean Trinidad-Tobago | Caribbean | Trinidad-Tobago | Windward Is. | Northern South America Guyana | Northern South America | Guyana | Venezuela,Brazil | United Kingdom | Guyana | Venezuela,https://www.worldfloraonline.org/taxon/wfo-0000184964
Caladium bicolor (Aiton) Vent.,Caladium bicolor (Aiton) Vent.,2868390,wfo-0000739079,Caladium bicolor (Aiton) Vent.,Bolivia (Plurinational State of) | Brazil | Colombia | Venezuela (Bolivarian Republic of),BO | BR | CO | VE,180,180,medium,Southern America Brazil Brazil North | Southern America | Brazil | Brazil North | Acre | Amapí | Amazonas | Parí | Rondônia | Roraima | Brazil Northeast | Alagoas | Bahia | Ceará | Pernambuco | Brazil South | Paraní | Santa Catarina | Brazil Southeast | Minas Gerais | Rio de Janeiro | São Paulo | Brazil West-Central | Mato Grosso | Central America Costa Rica | Central America | Costa Rica | Honduras | Nicaragua | Panamá | Northern South America French Guiana | Northern South America | French Guiana | Guyana | Suriname | Venezuela | Southern South America Argentina Northwest | Southern South America | Argentina Northwest | Western South America Bolivia | Western South America | Bolivia | Colombia | Ecuador | Peru,Brazil | Israel | Costa Rica | Honduras | Nicaragua | Cuba | France | Guyana | Suriname | Venezuela | Bolivia | Colombia | Ecuador | Peru,https://www.worldfloraonline.org/taxon/wfo-0000739079
Calathea zebrina (Sims) Lindl.,Calathea zebrina (Sims) Lindl.,5302914,wfo-0000430828,Goeppertia zebrina (Sims) Nees,Brazil,BR,70,70,medium,Southern America Brazil Brazil Northeast | Southern America | Brazil | Brazil Northeast | Bahia | Brazil South | Brazil Southeast | Espirito Santo | Minas Gerais | Rio de Janeiro | São Paulo,Brazil,https://www.worldfloraonline.org/taxon/wfo-0000430828
Canna glauca L.,Canna glauca L.,5303128,wfo-0000343792,Canna glauca L.,Argentina | Brazil | Ecuador | Paraguay | Spain | United States of America | Uruguay,AR | BR | EC | ES | PY | US | UY,252,252,high,Northern America Mexico Mexico Gulf | Northern America | Mexico | Mexico Gulf | Mexico Southeast | Mexico Southwest | South-Central U.S.A. Texas | South-Central U.S.A. | Texas | Southeastern U.S.A. Florida | Southeastern U.S.A. | Florida | Louisiana | South Carolina | Southern America Brazil Brazil North | Southern America | Brazil | Brazil North | Amapí | Amazonas | Parí | Rondônia | Roraima | Tocantins | Brazil Northeast | Alagoas | Bahia | Ceará | Maranh | Paraába | Pernambuco | Piauá | Sergipe | Brazil South | Paraní | Rio Grande do Sul | Santa Catarina | Brazil Southeast | Espirito Santo | Minas Gerais | Rio de Janeiro | São Paulo | Brazil West-Central | Brazilia Distrito Federal | Goiás | Mato Grosso | Mato Grosso do Sul | Caribbean Bermuda | Caribbean | Bermuda | Cuba | Dominican Republic | Haiti | Jamaica | Leeward Is. | Puerto Rico | Trinidad-Tobago | Windward Is. | Central America Costa Rica | Central America | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | Panamá | Northern South America French Guiana | Northern South America | French Guiana | Guyana | Suriname | Venezuela | Southern South America Argentina Northeast | Southern South America | Argentina Northeast | Argentina Northwest | Paraguay | Uruguay | Western South America Bolivia | Western South America | Bolivia | Colombia | Ecuador | Peru,Mexico | Brazil | United Kingdom | Cuba | Dominican Republic | Haiti | Jamaica | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | France | Guyana | Suriname | Venezuela | Paraguay | Uruguay | Bolivia | Colombia | Ecuador | Peru,https://www.worldfloraonline.org/taxon/wfo-0000343792
Carica papaya L.,Carica papaya L.,2874484,wfo-0000588009,Carica papaya L.,Argentina | Australia | Colombia | Seychelles | United States of America,AR | AU | CO | SC | US,20,20,low,Northern America Mexico Mexico Gulf | Northern America | Mexico | Mexico Gulf | Mexico Southeast | Mexico Southwest | Southern America Central America Belize | Southern America | Central America | Belize | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | Panamá | Northern South America Venezuela | Northern South America | Venezuela | Western South America Colombia | Western South America | Colombia,Mexico | Belize | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | Brazil | Cuba | Venezuela | Colombia,https://www.worldfloraonline.org/taxon/wfo-0000588009
Carica papaya L. 'Nana',Carica papaya L.,2874484,wfo-0000588009,Carica papaya L.,Argentina | Australia | Colombia | Seychelles | United States of America,AR | AU | CO | SC | US,20,20,low,Northern America Mexico Mexico Gulf | Northern America | Mexico | Mexico Gulf | Mexico Southeast | Mexico Southwest | Southern America Central America Belize | Southern America | Central America | Belize | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | Panamá | Northern South America Venezuela | Northern South America | Venezuela | Western South America Colombia | Western South America | Colombia,Mexico | Belize | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | Brazil | Cuba | Venezuela | Colombia,https://www.worldfloraonline.org/taxon/wfo-0000588009
Carica papaya L. 'Pasar Orange',Carica papaya L.,2874484,wfo-0000588009,Carica papaya L.,Argentina | Australia | Colombia | Seychelles | United States of America,AR | AU | CO | SC | US,20,20,low,Northern America Mexico Mexico Gulf | Northern America | Mexico | Mexico Gulf | Mexico Southeast | Mexico Southwest | Southern America Central America Belize | Southern America | Central America | Belize | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | Panamá | Northern South America Venezuela | Northern South America | Venezuela | Western South America Colombia | Western South America | Colombia,Mexico | Belize | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | Brazil | Cuba | Venezuela | Colombia,https://www.worldfloraonline.org/taxon/wfo-0000588009
Carica papaya L. 'Solo',Carica papaya L.,2874484,wfo-0000588009,Carica papaya L.,Argentina | Australia | Colombia | Seychelles | United States of America,AR | AU | CO | SC | US,20,20,low,Northern America Mexico Mexico Gulf | Northern America | Mexico | Mexico Gulf | Mexico Southeast | Mexico Southwest | Southern America Central America Belize | Southern America | Central America | Belize | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | Panamá | Northern South America Venezuela | Northern South America | Venezuela | Western South America Colombia | Western South America | Colombia,Mexico | Belize | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | Brazil | Cuba | Venezuela | Colombia,https://www.worldfloraonline.org/taxon/wfo-0000588009
Carica papaya L. 'Solo-Waimanalo',Carica papaya L.,2874484,wfo-0000588009,Carica papaya L.,Argentina | Australia | Colombia | Seychelles | United States of America,AR | AU | CO | SC | US,20,20,low,Northern America Mexico Mexico Gulf | Northern America | Mexico | Mexico Gulf | Mexico Southeast | Mexico Southwest | Southern America Central America Belize | Southern America | Central America | Belize | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | Panamá | Northern South America Venezuela | Northern South America | Venezuela | Western South America Colombia | Western South America | Colombia,Mexico | Belize | Costa Rica | El Salvador | Guatemala | Honduras | Nicaragua | Brazil | Cuba | Venezuela | Colombia,https://www.worldfloraonline.org/taxon/wfo-0000588009
