input_name,gbif_matchType,gbif_confidence,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_usageKey,gbif_synonyms,gbif_synonym_count,gbif_english_name,gbif_english_names,gbif_english_name_count
Cyanastrum cordifolium Oliv.,EXACT,100,Cyanastrum cordifolium,Cyanastrum cordifolium,Cyanastrum cordifolium Oliv.,2860900,Cyanastrum cordifolium var. compactum (Oliv.) R.T.Clausen,1,,,0
Cyperus diffusus Vahl.,EXACT,100,Cyperus diffusus,Cyperus diffusus,Cyperus diffusus Vahl,2713932,Cyperus bancanus subsp. brevibracteatus E.G.Camus | Cyperus diffusus subsp. brevibracteatus (E.G.Camus) Kük. | Cyperus diffusus subsp. celebicus (Miq.) Kük. | Cyperus diffusus subsp. latifolius L.K.Dai | Cyperus diffusus subsp. macrostachyus Boeck. | Cyperus diffusus subsp. multispicatus S.M.Huang | Cyperus diffusus subsp. turgidulus Suringar | Cyperus diffusus subsp. umbrosus (Lindl. ex Nees) Kük. | Cyperus diffusus var. celebicus (Miq.) Kük. | Cyperus holophyllus Miq. ex DeVriese | Cyperus holophyllus subsp. celebicus Miq. | Cyperus laxus subsp. multispicatus (S.M.Huang) S.M.Huang,12,Diffused Flatsedge,Diffused Flatsedge | Dwarf Umbrella Grass,2
Delonix regia (Bojer) Raf.,EXACT,100,Delonix regia,Delonix regia,Delonix regia (Bojer ex Hook.) Raf.,2956176,Delonix regia subsp. flavida Stehle | Delonix regia subsp. genuina Stehle | Delonix regia var. flavida Stehlé | Delonix regia var. genuina Stehlé,4,Flamboyan,Flamboyan | Flamboyant Tree | Flanbwayan | Gold Mohar | July Tree | Krishnochura | Royal Poinciana,7
Dendrocnide excelsa (Wedd.) Chew.,EXACT,100,Dendrocnide excelsa,Dendrocnide excelsa,Dendrocnide excelsa (Wedd.) Chew,4098881,,0,,,0
Dichrostachys cinerea (L.) Wight. et Arn.,EXACT,100,Dichrostachys cinerea,Dichrostachys cinerea,Dichrostachys cinerea (L.) Wight & Arn.,2975891,Dichrostachys cinerea subsp. lugardae (N.E.Br.) Brenan & Brummitt | Dichrostachys cinerea subsp. paucijuga Miq. | Dichrostachys lugardae N.E.Br. | Dichrostachys platycarpa Welw.,4,Aroma,Aroma | Batrini/sari batrini | Kalahari-Weihnachtsbaum | acacia Saint Domingue | el marabu | marabou-thorn | marabu | mimosa clochette | sickle bush | sicklebush,10
Dioscorea alata L.,EXACT,100,Dioscorea alata,Dioscorea alata,Dioscorea alata L.,2754476,Dioscorea aculeata Wight | Dioscorea alata subsp. globosa (Roxb.) Prain | Dioscorea alata subsp. purpurea (Roxb.) A.Pouchet | Dioscorea alata subsp. tarri Prain & Burkill | Dioscorea alata subsp. vera Prain & Burkill | Dioscorea alata var. globosa (Roxb.) Prain | Dioscorea alata var. purpurea (Roxb.) A.Pouchet | Dioscorea alata var. tarri Prain & Burkill | Dioscorea alata var. vera Prain & Burkill | Dioscorea atropurpurea Roxb. | Dioscorea colocasiifolia Pax | Dioscorea eburina Lour. | Dioscorea eburnea Lour. | Dioscorea globosa Roxb. | Dioscorea javanica Queva | Dioscorea purpurea Roxb. | Dioscorea rubella Roxb. | Dioscorea sapinii De Wild. | Dioscorea sapinii DeWild. | Dioscorea vulgaris Miq.,20,Yams,"Chiazi | Greater Yams | Guyana arrowroot | Ovi tsabo, Ovi tsabo lahi | Water yam | Winged Yam | Yams | greater yam",8
Dioscorea oppositifolia L.,EXACT,100,Dioscorea oppositifolia,Dioscorea oppositifolia,Dioscorea oppositifolia L.,2754965,Dioscorea opposita Thunb. | Dioscorea oppositifolia var. dukhunensis Prain & Burkill | Dioscorea oppositifolia var. linnaei Prain & Burkill | Dioscorea oppositifolia var. thwaitesii Prain & Burkill,4,Chinese yam,Chinese yam | cinnamon vine | ma,3
Dioscorea polystachya Turcz. (Dioscorea batatas),HIGHERRANK,100,Dioscorea polystachya,Dioscorea polystachya,Dioscorea polystachya Turcz.,2754732,Dioscorea batatas Decne. | Dioscorea batatas f. clavata Makino | Dioscorea batatas f. daikok Makino | Dioscorea batatas f. flabellata Makino | Dioscorea batatas f. rakuda Makino | Dioscorea batatas f. tsukune Makino | Dioscorea batatas subsp. clavata Makino | Dioscorea batatas subsp. daikok Makino | Dioscorea batatas subsp. flabellata Makino | Dioscorea batatas subsp. rakuda Makino | Dioscorea batatas subsp. tsukune Makino | Dioscorea cayenensis var. pseudobatatas Hauman | Dioscorea cayennensis subsp. pseudobatatas Hauman | Dioscorea decaisneana Carrière | Dioscorea doryphora Hance | Dioscorea polystachya f. elongata Nakai | Dioscorea polystachya f. tsukune Nakai | Dioscorea potaninii Prain & Burkill | Dioscorea pseudobatatas (Hauman) Herter | Dioscorea rosthornii Diels,20,Chinese Yam,Chinese Yam | Chinese-potato | Cinnamon-vine | Yam,4
Dischidia bengalensis Colebr.,EXACT,100,Dischidia bengalensis,Dischidia bengalensis,Dischidia bengalensis Colebr.,3571031,Dischidia bengalensis var. cuneifolia (Wall.) Kuntze | Dischidia bengalensis var. spathulata (Blume) Kuntze | Dischidia cuneifolia Wall. | Dischidia loeseneriana Schltr. | Dischidia pseudobenghalensis Costantin | Dischidia spathulata Blume,6,,,0
Dischidia platyphylla Schltr.,EXACT,100,Dischidia platyphylla,Dischidia platyphylla,Dischidia platyphylla Schltr.,3582027,,0,,,0
Dischidia subulata Warb. Dischidia cordifolia,HIGHERRANK,100,Dischidia subulata,Dischidia subulata,Dischidia subulata Warb.,7312659,,0,,,0
Dischidia vidalii Becc. ,EXACT,100,Dischidia vidalii,Dischidia vidalii,Dischidia vidalii Becc.,8017070,Dischidia pectenoides H.Pearson,1,,,0
Elaeis guineensis Jacq,EXACT,100,Elaeis guineensis,Elaeis guineensis,Elaeis guineensis Jacq.,2731882,Elaeis dybowskii Hua | Elaeis guineensis f. androgyna A.Chev. | Elaeis guineensis f. caryolitica Becc. | Elaeis guineensis f. dioica A.Chev. | Elaeis guineensis f. dura Becc. | Elaeis guineensis f. fatua Becc. | Elaeis guineensis f. ramosa A.Chev. | Elaeis guineensis f. semidura Becc. | Elaeis guineensis f. tenera Becc. | Elaeis guineensis subsp. albescens Becc. | Elaeis guineensis subsp. androgyna A.Chev. | Elaeis guineensis subsp. angulosa Becc. | Elaeis guineensis subsp. caryolitica Becc. | Elaeis guineensis subsp. ceredia A.Chev. | Elaeis guineensis subsp. compressa Becc. | Elaeis guineensis subsp. dioica A.Chev. | Elaeis guineensis subsp. dura Becc. | Elaeis guineensis subsp. fatua Becc. | Elaeis guineensis subsp. gracilinux A.Chev. | Elaeis guineensis subsp. idolatrica A.Chev.,20,Oil palm,"African Oil Palm | Mavangati lahi, Mavangati menaka | Mbija n'drume, Mbija matra | Oil palm | apwiraiasi | dendezeiro",6
Elettaria ensal (Gaertn.) Abeyw.,EXACT,100,Elettaria ensal,Elettaria ensal,Elettaria ensal (Gaertn.) Abeyw.,2759860,Elettaria cardamomum subsp. zeylanicum J.Pereira | Elettaria cardamomum var. major Thwaites | Elettaria major Sm.,3,,,0
Epidendum ciliare L.,FUZZY,96,Epidendrum ciliare,Epidendrum ciliare,Epidendrum ciliare L.,5320796,Epidendrum ciliare var. cuspidatum (G.Lodd.) Lindl. | Epidendrum ciliare var. minor Stein | Epidendrum ciliare var. typicum Stehlé | Epidendrum ciliare var. viscidum (Lindl.) Lindl. | Epidendrum cuspidatum G.Lodd. | Epidendrum cuspidatum var. brachysepalum Rchb.f. | Epidendrum luteum Planch. | Epidendrum sanctalucianum H.G.Jones | Epidendrum viscidum Lindl.,9,Eyelash Orchid,Christmas Orchid | Eyelash Orchid | Fringed Star Orchid | Lady's Lash Orchid,4
Epiphyllum anguliger (Lem.) G.Don,EXACT,100,Epiphyllum anguliger,Epiphyllum anguliger,Epiphyllum anguliger (Lem.) G.Don,7673570,,0,Fishbone Cactus,Fishbone Cactus | Moon Cactus | Queen of the Night,3
Epiphyllum chrysocardium Alex.,EXACT,100,Epiphyllum chrysocardium,Epiphyllum chrysocardium,Epiphyllum chrysocardium Alexander,5621256,,0,,,0
Epiphyllum oxypetalum (DC.) Haw.,EXACT,100,Epiphyllum oxypetalum,Epiphyllum oxypetalum,Epiphyllum oxypetalum (DC.) Haw.,5384031,Epiphyllum acuminatum K.Schum. | Epiphyllum grande (Lem.) Britton & Rose | Epiphyllum latifrons (Zucc.) Pfeiff. | Epiphyllum oxypetalum var. purpusii (Weing.) Backeb. | Epiphyllum purpusii (Weing.) F.M.Knuth,5,Dutchman's Pipe Cactus,Dutchman's Pipe Cactus | Dutchman's-pipe cactus | tan hua,3
Erythroxylum coca Lam,EXACT,100,Erythroxylum coca,Erythroxylum coca,Erythroxylum coca Lam.,2873939,Erythroxylum bolivianum Burck | Erythroxylum chilpei E.Machado | Erythroxylum peruvianum Mitch. & Pascal | Erythroxylum peruvianum Mitch. & Pascal ex Steud.,4,Coca,Coca,1
Euphorbia leuconeura Boiss,EXACT,100,Euphorbia leuconeura,Euphorbia leuconeura,Euphorbia leuconeura Boiss.,3066177,Euphorbia fournieri Rebut,1,,,0
Euterpe oleracea Mart.,EXACT,100,Euterpe oleracea,Euterpe oleracea,Euterpe oleracea Mart.,5293398,Euterpe badiocarpa Barb.Rodr. | Euterpe beardii L.H.Bailey | Euterpe brasiliana Oken | Euterpe cuatrecasana Dugand | Euterpe cuatrecasasiana Dugand,5,Assai Palm,Assai Palm,1
Ficus benghalensis L.,EXACT,100,Ficus benghalensis,Ficus benghalensis,Ficus benghalensis L.,5361919,Ficus banyana Oken | Ficus benghalensis var. benghalensis | Ficus benghalensis var. krishnae (C.DC.) C.DC. | Ficus chauvieri G.Nicholson | Ficus chauvieri Rob. | Ficus cotoneifolia Vahl | Ficus cotonifolia Stokes | Ficus crassinervia Hort.Berol. | Ficus crassinervia Hort.Berol. ex Kunth & C.D.Bouché | Ficus indica L. | Ficus karet Baill. | Ficus lancifolia Moench | Ficus lasiophylla Link | Ficus procera Salisb. | Ficus umbrosa Salisb.,15,Bengal fig,Bengal banyan | Bengal fig | Bot | East Indian figtree | Indian Banyan,5
Ficus cyathistipula Warb,EXACT,100,Ficus cyathistipula,Ficus cyathistipula,Ficus cyathistipula Warb.,7262354,,0,likumo,kimbale | likumo,2
Ficus elastica Roxb. ex Hornem. 'De la Rouche',EXACT,95,Ficus elastica,Ficus elastica,Ficus elastica Roxb. ex Hornem.,5361903,,0,India rubber tree,India rubber fig | India rubber tree | Indian Rubber Fig | Indian rubberplant | Indian rubbertree | atta bor | figueira-indiana,7
Ficus elastica Roxb. ex Hornem. 'Melani',EXACT,95,Ficus elastica,Ficus elastica,Ficus elastica Roxb. ex Hornem.,5361903,,0,India rubber tree,India rubber fig | India rubber tree | Indian Rubber Fig | Indian rubberplant | Indian rubbertree | atta bor | figueira-indiana,7
Ficus lyrata Warb.,EXACT,100,Ficus lyrata,Ficus lyrata,Ficus lyrata Warb.,5361899,Ficus jollyana A.Chev. | Ficus pandurata Sander,2,Fiddleleaf Fig,Fiddleleaf Fig | banjo fig | fiddle-leaf fig | lyre-leaf figtree | fiddle leaf fig,5
Ficus obliqua Forst.,EXACT,100,Ficus obliqua,Ficus obliqua,Ficus obliqua G.Forst.,7262513,"Ficus aphanoneura Warb. | Ficus backhousei (Miq.) Miq. | Ficus boothiana Miq. | Ficus elegans (Miq.) Miq. | Ficus eugenioides (Miq.) F.Muell. ex Miq. | Ficus eugenioides (Miq.) F.Muell., 1867 | Ficus graeffii Warb. | Ficus laevis Desf. | Ficus obliqua var. petiolaris (Benth.) Corner | Ficus platypoda var. petiolaris Benth. | Ficus tryonii F.M.Bailey | Ficus virginea Banks & Sol. | Ficus virginea Banks & Sol. ex Hiern",13,small-leaf fig,small-leaf fig,1
Ficus rubiginosa Desf. ex Vent.,EXACT,100,Ficus rubiginosa,Ficus rubiginosa,Ficus rubiginosa Desf. ex Vent.,5361929,Ficus australis Willd. | Ficus ferruginea (Miq.) Miq. | Ficus ferruginea Desf. | Ficus fulva Kunth & C.D.Bouché | Ficus leichhardtii (Miq.) Miq. | Ficus leichhardtii var. angustata Miq. | Ficus muelleri (Miq.) Miq. | Ficus novae-walliae Dum.Cours. | Ficus obliqua var. petiolaris (Benth.) Corner | Ficus platypoda var. leichhardtii (Miq.) R.J.F.Hend. | Ficus platypoda var. mollis Benth. | Ficus platypoda var. petiolaris Benth. | Ficus platypoda var. subacuminata Benth. | Ficus rubiginosa f. glabrescens (F.M.Bailey) D.J.Dixon | Ficus rubiginosa var. glabrescens F.M.Bailey | Ficus rubiginosa var. lucida Maiden | Ficus rubiginosa var. variegata Guilf. | Ficus shirleyana Domin,18,Illawarra fig,Illawarra fig | Port Jackson Fig | Rusty-leaved Fig | larger small-leaf fig | little leaf fig | littleleaf fig | rusty fig,7
Ficus rubiginosa Desf. ex Vent. 'Variegata',EXACT,96,Ficus rubiginosa,Ficus rubiginosa,Ficus rubiginosa Desf. ex Vent.,5361929,Ficus australis Willd. | Ficus ferruginea (Miq.) Miq. | Ficus ferruginea Desf. | Ficus fulva Kunth & C.D.Bouché | Ficus leichhardtii (Miq.) Miq. | Ficus leichhardtii var. angustata Miq. | Ficus muelleri (Miq.) Miq. | Ficus novae-walliae Dum.Cours. | Ficus obliqua var. petiolaris (Benth.) Corner | Ficus platypoda var. leichhardtii (Miq.) R.J.F.Hend. | Ficus platypoda var. mollis Benth. | Ficus platypoda var. petiolaris Benth. | Ficus platypoda var. subacuminata Benth. | Ficus rubiginosa f. glabrescens (F.M.Bailey) D.J.Dixon | Ficus rubiginosa var. glabrescens F.M.Bailey | Ficus rubiginosa var. lucida Maiden | Ficus rubiginosa var. variegata Guilf. | Ficus shirleyana Domin,18,Illawarra fig,Illawarra fig | Port Jackson Fig | Rusty-leaved Fig | larger small-leaf fig | little leaf fig | littleleaf fig | rusty fig,7
Flacourtia flavescens Willd.,EXACT,100,Flacourtia flavescens,Flacourtia flavescens,Flacourtia flavescens Willd.,7591438,,0,,,0
Globba schomburgkii Hook.f.,EXACT,100,Globba schomburgkii,Globba schomburgkii,Globba schomburgkii Hook.f.,2757889,,0,Dancing girl ginger,Dancing girl ginger,1
Harpullia arborea (Blanco) Radlk,EXACT,100,Harpullia arborea,Harpullia arborea,Harpullia arborea (Blanco) Radlk.,3190016,Harpullia arborea var. megalocarpa Merr. | Harpullia blancoi Fern.-Vill. | Harpullia condorensis Pierre | Harpullia divaricata Radlk. | Harpullia glanduligera Radlk. | Harpullia imbricata (Blume) Thwaites | Harpullia pedicellaris Radlk. | Harpullia sphaeroloba Radlk. | Harpullia tomentosa Ridl.,9,Tulip-wood tree,Tulip-wood tree,1
Hatiora pentaptera (Pfeiff. ex A. Dietr.) Lem.,EXACT,100,Hatiora pentaptera,Hatiora pentaptera,Hatiora pentaptera (Pfeiff. ex A.Dietr.) Lem.,8059553,,0,,,0
Hatiora salicornioides Britton et Rose.,EXACT,100,Hatiora salicornioides,Hatiora salicornioides,Hatiora salicornioides Britton & Rose,7280906,Hatiora bambusoides Britton & Rose,1,dancing-bones,bottle cactus | dancing-bones | drunkard's dream | drunkard's-dream,4
Hedychium coronarium J.G.Koenig.,EXACT,100,Hedychium coronarium,Hedychium coronarium,Hedychium coronarium J.Koenig,7883492,Hedychium chrysoleucum Hook. | Hedychium coronarium subsp. chrysoleucum (Hook.) Baker | Hedychium coronarium subsp. maximum (Roscoe) Eichler | Hedychium coronarium var. baimao Z.Y.Zhu | Hedychium coronarium var. chrysoleucum (Hook.) Baker | Hedychium coronarium var. maximum (Roscoe) Eichler | Hedychium flavescens var. chrysoleucum (Hook.) C.E.C.Fisch. | Hedychium gandasulium Buch.-Ham. | Hedychium gandasulium Buch.-Ham. ex Wall. | Hedychium lingulatum Hassk. | Hedychium maximum Roscoe | Hedychium prophetae Buch.-Ham. | Hedychium prophetae Buch.-Ham. ex Wall. | Hedychium spicatum G.Lodd. | Hedychium sulphureum Wall.,15,butterfly-lily,"'awapuhi-ke'oke'o | Butterfly-ginger | White Garland-lily, White ginger lily, White ginger, White butterfly ginger, White butterfly ginger lily, Butterfly ginger, Butterfly lily, Cinnamon jasmine, Garland flower, Garland lily, Ginger lily, White ginger butterfly lily | White garland-lily | butterfly-lily | cinnamon-jasmine | garland-flower | garland-flowers",8
Hedychium gardnerianum Ker.-gawl.,EXACT,100,Hedychium gardnerianum,Hedychium gardnerianum,Hedychium gardnerianum Sheph. ex Ker Gawl.,2758700,Hedychium gardnerianum Sheph. | Hedychium gardnerianum var. fasciatum K.Koch | Hedychium gardnerianum var. pallidum (Regel) Baker | Hedychium pallidum Regel,4,ginger-lily,"Girlandenblume | Himalayan ginger | Jin jiang hua | Kahila garland-lily | Kahila garland-lily, Kahili ginger, Wild ginger | Kahili ginger | awapuhi kahili | cevuga dromodromo | conteira | ginger-lily",10
Hedychium horsfieldii R.Br. ex Wall.,EXACT,100,Hedychium horsfieldii,Hedychium horsfieldii,Hedychium horsfieldii R.Br. ex Wall.,2758650,Hedychium horsfieldii R.Br. | Hedychium microchilum Ridl.,2,,,0
Heliconia 'Olympic Flame',HIGHERRANK,96,Heliconia,Heliconia,Heliconia L.,2760545,,0,Heliconia,Heliconia | Platanillo,2
Heliconia rostrata Ruiz et Pav.,EXACT,100,Heliconia rostrata,Heliconia rostrata,Heliconia rostrata Ruiz & Pav.,2760967,Heliconia poeppigiana Eichler | Heliconia poeppigiana Eichler ex Petersen,2,False Bird of Paradise,"False Bird of Paradise | Sari hontsi, Sari kida | false bird-of-paradise",3
Hoffmannia ghiesberghtii (Lem.) Hemsl.,FUZZY,100,Hoffmannia ghiesbreghtii,Hoffmannia ghiesbreghtii,Hoffmannia ghiesbreghtii (Lem.) Hemsl.,5335448,,0,,,0
Hoffmannia ghiesberghtii (Lem.) Hemsl.,FUZZY,100,Hoffmannia ghiesbreghtii,Hoffmannia ghiesbreghtii,Hoffmannia ghiesbreghtii (Lem.) Hemsl.,5335448,,0,,,0
Hura crepitans L.,EXACT,100,Hura crepitans,Hura crepitans,Hura crepitans L.,5380015,Hura brasiliensis Willd. | Hura crepitans f. oblongifolia Müll.Arg. | Hura crepitans f. orbicularis Müll.Arg. | Hura crepitans f. ovata Müll.Arg. | Hura crepitans var. genuina Müll.Arg. | Hura crepitans var. membranacea Müll.Arg. | Hura crepitans var. oblongifolia Müll.Arg. | Hura crepitans var. orbicularis Müll.Arg. | Hura crepitans var. ovata Müll.Arg. | Hura crepitans var. senegalensis (Baill.) Boiss. | Hura crepitans var. senegalensis Müll.Arg. | Hura crepitans var. strepens Müll.Arg. | Hura senegalensis Baill. | Hura strepens Willd.,14,Sandbox tree,"Sandbox tree | asiwakalan, kumakalan",2
Hylocereus megalanthus (K.Schum.) Ralf Bauer,EXACT,100,Hylocereus megalanthus,Hylocereus megalanthus,Hylocereus megalanthus (K.Schum. ex Vaupel) Ralf Bauer,3944769,,0,yellow pitaya,yellow pitaya,1
Hylocereus undatus (Haw.) Britton et Rose.,EXACT,100,Hylocereus undatus,Hylocereus undatus,Hylocereus undatus (Haw.) Britton & Rose,3084394,,0,Dragon Fruit,Belle of the Night | Dragon Fruit | Night Blooming Cereus | Nightblooming cactus | Strawberry Pear | belle-of-the-night,6
Isolepis cernua (Vahl) Roem. et Schukt.,EXACT,100,Isolepis cernua,Isolepis cernua,Isolepis cernua (Vahl) Roem. & Schult.,2713316,"Isolepis mineae Parl., 1846 | Isolepis prolifera Melis, 1875 | Isolepis savii Palla",3,low bulrush,Slender Club-rush | Small Bristle Club-Rush | fiber-optic-grass | low bulrush | low clubrush,5
Justicia brandegeana Wassh. & L.B.Sm.,FUZZY,100,Justicia brandegeeana,Justicia brandegeeana,Justicia brandegeeana Wassh. & L.B.Sm.,3173122,Justicia straminea D.N.Gibson,1,false hop,Honolulu-salvia | Mexican shrimp-plant | Shrimpplant | false hop | shrimp-plant | shrimpbush,6
Justicia carnea Lindl.,EXACT,100,Justicia carnea,Justicia carnea,Justicia carnea Lindl.,3770188,,0,plumeflower,Brazilian-Plume | flamingo-flower | king's-crown | plumeflower,4
Khaya grandifolia C.DC.,FUZZY,100,Khaya grandifoliola,Khaya grandifoliola,Khaya grandifoliola C.DC.,3852039,Khaya dawei Stapf | Khaya dawei Stapf ex Broun & R.E.Massey | Khaya grandis Stapf | Khaya kerstingii Harms | Khaya kissiensis A.Chev. | Khaya punchii Stapf,6,Beninwood,African Mahogany | Benin Mahogany | Benin-mahogany | Beninwood | Large-leaved Mahogany | Senegal Mahogany | gagaliga | tido,8
Kigelia pinnata (Jacq.) DC.,EXACT,100,Kigelia pinnata,Kigelia pinnata,Kigelia pinnata (Jacq.) DC.,3172562,,0,,,0
Kohleria hirsuta (HBK) Reg.,EXACT,100,Kohleria hirsuta,Kohleria hirsuta,Kohleria hirsuta (Kunth) Regel,6365157,,0,,,0
Lagerstroemia speciosa (L.) Pers.,EXACT,100,Lagerstroemia speciosa,Lagerstroemia speciosa,Lagerstroemia speciosa (L.) Pers.,3188724,Lagerstroemia speciosa var. intermedia (Koehne) Furtado & Montien,1,Jarul,Jarul | Pride of India | Sari konokono wadrada | giant crepe-myrtle | pride-of-India | pyinma | queen's crape-myrtle | queen's-flower | reseda-flor-da-rainha | resedá-flor-da-rainha | resedá-gigante,11
Mangifera indica L. 'Irwin',EXACT,96,Mangifera indica,Mangifera indica,Mangifera indica L.,3190638,Mangifera amba Forssk. | Mangifera anisodora Blanco | Mangifera austroyunnanensis H.H.Hu | Mangifera austroyunnanensis Hu | Mangifera balba Crevost & Lemarié | Mangifera cambodiana (Pierre) Anon. | Mangifera domestica Gaertn. | Mangifera equina Crevost & Lemarié | Mangifera gladiata Bojer | Mangifera indica var. bapang Blume | Mangifera indica var. cambodiana Pierre | Mangifera indica var. compressa Blume | Mangifera indica var. deropong Blume | Mangifera indica var. dodol Blume | Mangifera indica var. domestica (Gaertn.) Blume | Mangifera indica var. gratissima Blume | Mangifera indica var. kaijer Blume | Mangifera indica var. kalapa Blume | Mangifera indica var. kidang Blume | Mangifera indica var. marundana Blume,20,Mango,Am | Common Indian Mango | Indian mango | Mako | Manga | Mango | Mango Tree,7
Mangifera indica L. 'Kensington',EXACT,96,Mangifera indica,Mangifera indica,Mangifera indica L.,3190638,Mangifera amba Forssk. | Mangifera anisodora Blanco | Mangifera austroyunnanensis H.H.Hu | Mangifera austroyunnanensis Hu | Mangifera balba Crevost & Lemarié | Mangifera cambodiana (Pierre) Anon. | Mangifera domestica Gaertn. | Mangifera equina Crevost & Lemarié | Mangifera gladiata Bojer | Mangifera indica var. bapang Blume | Mangifera indica var. cambodiana Pierre | Mangifera indica var. compressa Blume | Mangifera indica var. deropong Blume | Mangifera indica var. dodol Blume | Mangifera indica var. domestica (Gaertn.) Blume | Mangifera indica var. gratissima Blume | Mangifera indica var. kaijer Blume | Mangifera indica var. kalapa Blume | Mangifera indica var. kidang Blume | Mangifera indica var. marundana Blume,20,Mango,Am | Common Indian Mango | Indian mango | Mako | Manga | Mango | Mango Tree,7
Mangifera indica L. 'Osteen',EXACT,96,Mangifera indica,Mangifera indica,Mangifera indica L.,3190638,Mangifera amba Forssk. | Mangifera anisodora Blanco | Mangifera austroyunnanensis H.H.Hu | Mangifera austroyunnanensis Hu | Mangifera balba Crevost & Lemarié | Mangifera cambodiana (Pierre) Anon. | Mangifera domestica Gaertn. | Mangifera equina Crevost & Lemarié | Mangifera gladiata Bojer | Mangifera indica var. bapang Blume | Mangifera indica var. cambodiana Pierre | Mangifera indica var. compressa Blume | Mangifera indica var. deropong Blume | Mangifera indica var. dodol Blume | Mangifera indica var. domestica (Gaertn.) Blume | Mangifera indica var. gratissima Blume | Mangifera indica var. kaijer Blume | Mangifera indica var. kalapa Blume | Mangifera indica var. kidang Blume | Mangifera indica var. marundana Blume,20,Mango,Am | Common Indian Mango | Indian mango | Mako | Manga | Mango | Mango Tree,7
Medinilla magnifica Lindl.,EXACT,100,Medinilla magnifica,Medinilla magnifica,Medinilla magnifica Lindl.,3188507,Medinilla bracteata Veitch | Medinilla superba Teijsm. & Binn. | Medinilla superba Teijsm. & Binn. ex Triana,3,pink medinilla,Showy Medinilla | pink medinilla,2
Nephelium lappaceum,EXACT,99,Nephelium lappaceum,Nephelium lappaceum,Nephelium lappaceum L.,5421126,Nephelium chryseum Blume | Nephelium echinatum Noronha | Nephelium glabrum (Blume) Cambess. | Nephelium glabrum Noronha | Nephelium glabrum var. sufferugineum (Radlk.) Ridl. | Nephelium lappaceum var. glabrum (Blume) Blume | Nephelium maculatum Radlk. | Nephelium obovatum Ridl. | Nephelium pallens Radlk. | Nephelium rambutan Schnizl. | Nephelium rimosum G.Don,11,pulasan,Rambutan | pulasan,2
Mimosa aculeaticarpa Ortega,EXACT,100,Mimosa aculeaticarpa,Mimosa aculeaticarpa,Mimosa aculeaticarpa Ortega,2969973,Mimosa acanthocarpa (Willd.) Benth. | Mimosa acanthocarpa (Willd.) Poir. | Mimosa acanthocarpa var. desmanthocarpa B.L.Rob. | Mimosa aculeaticarpa var. aculeaticarpa | Mimosa aculeaticarpa var. desmanthocarpa (B.L.Rob.) J.F.Macbr. | Mimosa arida Benth. | Mimosa brachyacantha Poir. | Mimosa moreliensis (Britton) Bullock | Mimosa uncinella Poir.,9,catclaw mimosa,catclaw mimosa | mimosa,2
Mimosa polycarpa Kanth. var. spegazzinii (Pirrota) Burkart.,EXACT,100,Mimosa polycarpa spegazzinii,Mimosa polycarpa,Mimosa polycarpa var. spegazzinii (Pirotta) Burkart,2969639,Mimosa pachecensis S.Moore | Mimosa polycarpa var. subglabrata Hoehne | Mimosa polychaeta Malme | Mimosa spegazzinii Pirotta,4,,,0
Morinda citriodora l,HIGHERRANK,96,Morinda,Morinda,Morinda L.,2915429,,0,,,0
Murraya paniculata (L.) Jack,EXACT,100,Murraya paniculata,Murraya paniculata,Murraya paniculata (L.) Jack,5421335,,0,Orange Jasmine,"Anfounloulou, Foulaguin | Chinese box | Mock orange | Orange jessamine, Jessamine, Lakeview jasmine, Jasmine orange, Mock orange, Hawaiian mock orange, Satinwood, Chinese box, China-box, Cosmetic bark tree, Honey bush, Murraya | orange-jessamine | qian li xiang | tiare anani | Orange Jasmine",8
Musa coccinea Andrews,EXACT,100,Musa coccinea,Musa coccinea,Musa coccinea Andrews,2762920,,0,Okinawa Torch,Okinawa Torch | Red Flowering Banana | Red Flowering Thai Banana | Red Torch Banana | bananeira-florida | bananeira-vermelha | hong jiao | scarlet banana,8
Musa velutina Wendl. et Drude,EXACT,100,Musa velutina,Musa velutina,Musa velutina H.Wendl. & Drude,2762971,"Musa dasycarpa Kurz | Musa velutina var. variegata A.Joe, M.Sabu & Sreejith",2,hairy banana,Pink velvet banana | bananeira-de-jardim | bananeira-ornamental | fuzzy pink banana | hairy banana | pink banana | self-peeling banana,7
Musa x nana 'Cavendishii',EXACT,84,Musa nana,Musa nana,Musa nana Lour.,3750363,,0,,,0
