input_name,gbif_matchType,gbif_confidence,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_usageKey,gbif_synonyms,gbif_synonym_count,gbif_english_name,gbif_english_names,gbif_english_name_count
Spathiphyllum cochlearispatum (Liebm.) Engl.,FUZZY,100,Spathiphyllum cochlearispathum,Spathiphyllum cochlearispathum,Spathiphyllum cochlearispathum (Liebm.) Engl.,2869661,Spathiphyllum cochlearispathum var. longirostre (Liebm.) Engl. | Spathiphyllum heliconiifolium Schott | Spathiphyllum lacustre Lundell | Spathiphyllum lanceolatum (K.Koch) K.Koch | Spathiphyllum liebmannii Schott | Spathiphyllum longirostre (Liebm.) Schott,6,,,0
Spathodea campanulata Beauv.,EXACT,100,Spathodea campanulata,Spathodea campanulata,Spathodea campanulata Beauverd,3172574,Spathodea campanulata subsp. congolana Bidgood | Spathodea campanulata subsp. nilotica (Seem.) Bidgood | Spathodea danckelmaniana Büttner | Spathodea nilotica Seem. | Spathodea nilotica f. bryanii O.Deg. & I.Deg. | Spathodea tulipifera (Schum.) G.Don,6,Nandi Flame,"African Tulip Tree | African tulip tree, Fireball, Flame of the forest, Fountain tree | African tuliptree | African-tuliptree | Afrikanischer Tulpenbaum | Amani mtsiritsiri, Angaia ngogoma | Fountain Tree | Indian Cedar | Mpapakojo, Mbe ramu | Nandi Flame | Santo Domingo Mahogany",11
Spondias dulcis,EXACT,99,Spondias dulcis,Spondias dulcis,Spondias dulcis Parkinson,3190595,"Spondias acida Blume | Spondias cythera Sonn. | Spondias cytherea Sonn. | Spondias dulcis Sol. | Spondias dulcis Sol. ex G.Forst. | Spondias dulcis var. acida (Blume) Engl. | Spondias dulcis var. commersonii Engl. | Spondias dulcis var. dulcis | Spondias dulcis var. integra Engl. | Spondias dulcis var. mucroniserrata Engl. | Spondias dulcis var. mucroserrata Engl., 1883",11,Jew-plum,Ambarella | Golden Apple / Amra | Jew-plum | Jewish plum | Otaheite-apple | Polynesian plum | Polynesian-plum | Sakonga | Sakwa,9
Spondias mombin L.,EXACT,100,Spondias mombin,Spondias mombin,Spondias mombin L.,3190593,Spondias mambin L.,1,Hogplum,Hogplum | Jamaica-plum,2
Strelitzia alba (L.) Skeels.,EXACT,100,Strelitzia alba,Strelitzia alba,Strelitzia alba (L.f.) Skeels,2763106,Strelitzia alba subsp. augusta (Thunb.) Maire & Weiller | Strelitzia angusta D.Dietr. | Strelitzia augusta Thunb.,3,,,0
Strelitzia nicolai Reg. et Körn.,EXACT,100,Strelitzia nicolai,Strelitzia nicolai,Strelitzia nicolai Regel & Körn.,2763112,Strelitzia alba subsp. nicolai (Regel & Körn.) Maire & Weiller | Strelitzia quensonii Lem.,2,Bird-Of-Paradise Tree,Bird-Of-Paradise Tree | bird-of-paradise-tree | white bird-of-paradise | white bird-of-paradise tree,4
Strophanthus gratus (Wall. et Hook.) Baill.,EXACT,100,Strophanthus gratus,Strophanthus gratus,Strophanthus gratus (Wall. & Hook.) Baill.,8685745,Strophanthus choprae M.R.Almeida | Strophanthus chopraie M.R.Almeida | Strophanthus glaber Cornu | Strophanthus glaber Cornu ex Holmes | Strophanthus gratus Franch. | Strophanthus ouaboio Holmes | Strophanthus perrotii A.Chev. | Strophanthus stanleyanus Hook.,8,Ouabain,Ouabain | climbing-oleander | poison arrowvine | spider-tresses,4
Strophanthus petersianus Klotzsch.,EXACT,100,Strophanthus petersianus,Strophanthus petersianus,Strophanthus petersianus Klotzsch,3619876,Strophanthus grandiflorus (N.E.Br.) Gilg | Strophanthus petersianus var. grandiflorus N.E.Br. | Strophanthus sarmentosus var. verrucosus Pax | Strophanthus verrucosus (Pax) Stapf,4,,,0
Syagrus romanzoffianum (Cham.) Glassm,FUZZY,100,Syagrus romanzoffiana,Syagrus romanzoffiana,Syagrus romanzoffiana (Cham.) Glassman,5293897,,0,Queen Palm,Queen Palm | giriba palm,2
Tamarindus indica L.,EXACT,100,Tamarindus indica,Tamarindus indica,Tamarindus indica L.,2975768,"Tamarindus erythraeus Mattei | Tamarindus indica var. emarginata Chiov. | Tamarindus indica var. occidentalis (Gaertn.) Taub., 1894 | Tamarindus occidentalis Gaertn. | Tamarindus officinalis Hook. | Tamarindus somalensis Mattei | Tamarindus umbrosa Salisb.",7,Tormon,Indian tamarind | Madiro kakazo | Tamarein | Tamaren | Tamarijn | Tamarind | Tamarind Tree | Tormon | Vaioata,9
Terminalia catappa L.,EXACT,100,Terminalia catappa,Terminalia catappa,Terminalia catappa L.,3189394,Terminalia badamia DC. | Terminalia badamia Tul. | Terminalia burmanica King | Terminalia burmanica King ex Prain | Terminalia catappa var. chlorocarpa Hassk. | Terminalia catappa var. macrocarpa Hassk. | Terminalia catappa var. pubescens Kurz | Terminalia catappa var. rhodocarpa Hassk. | Terminalia catappa var. subcordata (Humb. & Bonpl. ex Willd.) DC. | Terminalia intermedia Bertero,10,Almond,Alman Tree | Almendron | Almond | Almond Tree | Antafa | Beach Almond | India Almond | Indian almond | Indian-almond | Indischer Mandelbaum | Katappenbaum,11
Theobroma cacao L,EXACT,100,Theobroma cacao,Theobroma cacao,Theobroma cacao L.,3152205,Theobroma cocao L. | Theobroma kalagua De Wild. | Theobroma kalagua DeWild. | Theobroma pentogona Bernoulli | Theobroma saltzmanniana Bernoulli | Theobroma sativa var. leucosperma A.Chev. | Theobroma sativa var. melanosperma A.Chev.,7,Cacao,Cacao,1
Thunbergia mysorensis (Wight) T.Anderson ,EXACT,100,Thunbergia mysorensis,Thunbergia mysorensis,Thunbergia mysorensis (Wight) T.Anderson,5573843,,0,Mysore trumpetvine,"Mysore trumpetvine | Mysore trumpetvine, Indian clock vine",2
Vanilla planifolia Andrews,EXACT,100,Vanilla planifolia,Vanilla planifolia,Vanilla planifolia Andrews,2803398,"Vanilla aromatica Willd. | Vanilla aromatica var. bicolor F.Buyss. | Vanilla aromatica var. claviculata F.Buyss. | Vanilla aromatica var. discolor F.Buyss. | Vanilla aromatica var. lutescens F.Buyss. | Vanilla aromatica var. planifolia (Andrews) F.Buyss. | Vanilla bampsiana Geerinck | Vanilla duckei Huber | Vanilla fragrans Ames | Vanilla planifolia Jacks., 1808 | Vanilla planifolia var. angusta Costantin & Poiss. ex C.Henry | Vanilla planifolia var. planifolia | Vanilla planifolia var. sylvestris (Schiede) Costantin & Bois, 1916 | Vanilla rubra (Lam.) Urb. | Vanilla sativa Schiede",15,Vanilla,Bourbon vanilla | Lavani | Vanilla | banira,4
Vanilla pompona Schiede,EXACT,100,Vanilla pompona,Vanilla pompona,Vanilla pompona Schiede,2803463,"Vanilla cochlearilabia Archila, Chiron & Menchaca | Vanilla grandiflora Lindl. | Vanilla hamata Klotzsch | Vanilla lutescens Moq. | Vanilla lutescens Moq. ex Dupuis | Vanilla pittieri Schltr. | Vanilla planifolia var. gigantea Hoehne | Vanilla pleei Portères | Vanilla pompona subsp. grandiflora (Lindl.) Soto Arenas | Vanilla pompona subsp. pittieri (Schltr.) Dressler | Vanilla pompona subsp. pittieri (Schltr.) Soto Arenas | Vanilla pompona subsp. pompona",12,pompona vanilla,Guadeloupe vanilla | West Indian Vanilla | pompona vanilla,3
Zingiber officinale Roscoe,EXACT,100,Zingiber officinale,Zingiber officinale,Zingiber officinale Roscoe,2757280,"Zingiber aromaticum Noronha | Zingiber cholmondeleyi (F.M.Bailey) K.Schum. | Zingiber majus Rumph. | Zingiber missionis Wall. | Zingiber missionis Wall. ex Baker | Zingiber officinale f. macrorhizonum (Makino) M.Hiroe | Zingiber officinale f. rubens (Makino) M.Hiroe | Zingiber officinale subsp. cholmondeleyi F.M.Bailey | Zingiber officinale subsp. macrorhizonum (Makino) M.Hiroe | Zingiber officinale subsp. rubens (Makino) M.Hiroe | Zingiber officinale subsp. rubrum Theilade | Zingiber officinale subsp. sichuanense (Z.Y.Zhu, S.L.Zhang & S.X.Chen) Z.Y.Zhu & S.L.Zhang | Zingiber officinale var. cholmondeleyi F.M.Bailey | Zingiber officinale var. macrorhizonum Makino | Zingiber officinale var. rubens Makino | Zingiber officinale var. rubrum Theilade",16,Garden Ginger,Garden Ginger | Tsingizo | ginger,3
