input_name,gbif_matchType,gbif_confidence,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_usageKey,gbif_synonyms,gbif_synonym_count,gbif_english_name,gbif_english_names,gbif_english_name_count,gbif_native_countries,gbif_native_country_codes,gbif_native_total_records,gbif_native_sampled_records,gbif_native_confidence,wfo_taxon_id,wfo_id_method,wfo_query_used,wfo_url,wfo_habitat,wfo_native_distribution,wfo_distribution_raw,wfo_distribution_label,wfo_habitat_label
Carica papaya L. 'Pasar Orange',EXACT,96,Carica papaya,Carica papaya,Carica papaya L.,2874484,Carica citriformis J.Jacq. ex Spreng. | Carica citriformis Jacq. | Carica cubensis Solms | Carica hermaphrodita Blanco | Carica jamaicensis Urb. | Carica jimenezii (Bertoni) Bertoni | Carica mamaya Vell. | Carica papaya f. correae Solms | Carica papaya f. ernstii Solms | Carica papaya f. eupapaya Solms | Carica papaya f. mamaya (Vell.) Stellfeld | Carica papaya f. portoricensis (Urb.) Solms | Carica papaya var. bady Aké Assi | Carica papaya var. bady AkéAssi | Carica papaya var. jimenezii Bertoni | Carica peltata Hook. & Arn. | Carica pinnatifida Heilb. | Carica portoricensis (Solms) Urb. | Carica posopora L. | Carica posoposa L.,20,Pape,Mpwapwaia | Mpwapwayi | Papaw | Papaya | Pape,5,Argentina | Australia | Colombia | Seychelles | United States of America,AR | AU | CO | SC | US,20,20,low,wfo-0000588009,matching_api,Carica papaya,https://www.worldfloraonline.org/taxon/wfo-0000588009,"Carica papaya grows as a cultivated species but is prone to escape along roadsides, other Human Altered environments, and the edges of natural areas Provided by: [ C ]. Leon Levy Native Plant Preserve Source: [ 11 ].",Introduced distribution,Introduced distribution,native distribution,habitat
Carica papaya L. 'Solo',EXACT,96,Carica papaya,Carica papaya,Carica papaya L.,2874484,Carica citriformis J.Jacq. ex Spreng. | Carica citriformis Jacq. | Carica cubensis Solms | Carica hermaphrodita Blanco | Carica jamaicensis Urb. | Carica jimenezii (Bertoni) Bertoni | Carica mamaya Vell. | Carica papaya f. correae Solms | Carica papaya f. ernstii Solms | Carica papaya f. eupapaya Solms | Carica papaya f. mamaya (Vell.) Stellfeld | Carica papaya f. portoricensis (Urb.) Solms | Carica papaya var. bady Aké Assi | Carica papaya var. bady AkéAssi | Carica papaya var. jimenezii Bertoni | Carica peltata Hook. & Arn. | Carica pinnatifida Heilb. | Carica portoricensis (Solms) Urb. | Carica posopora L. | Carica posoposa L.,20,Pape,Mpwapwaia | Mpwapwayi | Papaw | Papaya | Pape,5,Argentina | Australia | Colombia | Seychelles | United States of America,AR | AU | CO | SC | US,20,20,low,wfo-0000588009,matching_api,Carica papaya,https://www.worldfloraonline.org/taxon/wfo-0000588009,"Carica papaya grows as a cultivated species but is prone to escape along roadsides, other Human Altered environments, and the edges of natural areas Provided by: [ C ]. Leon Levy Native Plant Preserve Source: [ 11 ].",Introduced distribution,Introduced distribution,native distribution,habitat
Carica papaya L. 'Solo-Waimanalo',EXACT,96,Carica papaya,Carica papaya,Carica papaya L.,2874484,Carica citriformis J.Jacq. ex Spreng. | Carica citriformis Jacq. | Carica cubensis Solms | Carica hermaphrodita Blanco | Carica jamaicensis Urb. | Carica jimenezii (Bertoni) Bertoni | Carica mamaya Vell. | Carica papaya f. correae Solms | Carica papaya f. ernstii Solms | Carica papaya f. eupapaya Solms | Carica papaya f. mamaya (Vell.) Stellfeld | Carica papaya f. portoricensis (Urb.) Solms | Carica papaya var. bady Aké Assi | Carica papaya var. bady AkéAssi | Carica papaya var. jimenezii Bertoni | Carica peltata Hook. & Arn. | Carica pinnatifida Heilb. | Carica portoricensis (Solms) Urb. | Carica posopora L. | Carica posoposa L.,20,Pape,Mpwapwaia | Mpwapwayi | Papaw | Papaya | Pape,5,Argentina | Australia | Colombia | Seychelles | United States of America,AR | AU | CO | SC | US,20,20,low,wfo-0000588009,matching_api,Carica papaya,https://www.worldfloraonline.org/taxon/wfo-0000588009,"Carica papaya grows as a cultivated species but is prone to escape along roadsides, other Human Altered environments, and the edges of natural areas Provided by: [ C ]. Leon Levy Native Plant Preserve Source: [ 11 ].",Introduced distribution,Introduced distribution,native distribution,habitat
Carica papaya L. 'Sunset',EXACT,96,Carica papaya,Carica papaya,Carica papaya L.,2874484,Carica citriformis J.Jacq. ex Spreng. | Carica citriformis Jacq. | Carica cubensis Solms | Carica hermaphrodita Blanco | Carica jamaicensis Urb. | Carica jimenezii (Bertoni) Bertoni | Carica mamaya Vell. | Carica papaya f. correae Solms | Carica papaya f. ernstii Solms | Carica papaya f. eupapaya Solms | Carica papaya f. mamaya (Vell.) Stellfeld | Carica papaya f. portoricensis (Urb.) Solms | Carica papaya var. bady Aké Assi | Carica papaya var. bady AkéAssi | Carica papaya var. jimenezii Bertoni | Carica peltata Hook. & Arn. | Carica pinnatifida Heilb. | Carica portoricensis (Solms) Urb. | Carica posopora L. | Carica posoposa L.,20,Pape,Mpwapwaia | Mpwapwayi | Papaw | Papaya | Pape,5,Argentina | Australia | Colombia | Seychelles | United States of America,AR | AU | CO | SC | US,20,20,low,wfo-0000588009,matching_api,Carica papaya,https://www.worldfloraonline.org/taxon/wfo-0000588009,"Carica papaya grows as a cultivated species but is prone to escape along roadsides, other Human Altered environments, and the edges of natural areas Provided by: [ C ]. Leon Levy Native Plant Preserve Source: [ 11 ].",Introduced distribution,Introduced distribution,native distribution,habitat
Castanospermum australe Raddi,EXACT,87,Castanospermum australe,Castanospermum australe,Castanospermum australe A.Cunn. ex Mudie,7579806,Castanospermum australe var. brevivexillum F.M.Bailey | Castanospermum brevivexillum (F.M.Bailey) Domin | Castanospermum cunninghamii J.M.Wood,3,beantree,Australian-chestnut | Moreton Bay-bean | Moreton Bay-chestnut | beantree | black-bean,5,Australia,AU,35,35,low,wfo-0000212067,matching_api,Castanospermum australe,https://www.worldfloraonline.org/taxon/wfo-0000212067,Life Form,Florida and urban California. Native of Australia. Hort introduction. June-Sept. Moreton Bay Chestnut. Provided by: [ C ]. Memoirs of the New York Botanical Garden Source: [ 4 ].,Florida and urban California. Native of Australia. Hort introduction. June-Sept. Moreton Bay Chestnut. Provided by: [ C ]. Memoirs of the New York Botanical Garden Source: [ 4 ].,distribution,habitat
Cinnamomum parthenoxylon (Jacq.) Meisn.,EXACT,100,Cinnamomum parthenoxylon,Cinnamomum parthenoxylon,Cinnamomum parthenoxylon (Jack) Meisn.,4181342,Cinnamomum barbatoaxillatum N.Chao | Cinnamomum inodorum (Blume ex Miq.) Meisn. | Cinnamomum inunctum (Nees) Meisn. | Cinnamomum malaccense Meisn. | Cinnamomum neesianum Meisn. | Cinnamomum penninervium Kosterm. | Cinnamomum porrectum (Roxb.) Kosterm. | Cinnamomum pseudosassafras (Blume) Meisn. | Cinnamomum purpureaum H.G.Ye & F.G.Wang | Cinnamomum purpureum H.G.Ye & F.G.Wang,10,Selasian Wood,huang zhang | Selasian Wood | Martaban Camphor Wood | Saffrol Laurel,4,,,0,0,none,wfo-0000605312,matching_api,Cinnamomum parthenoxylon,https://www.worldfloraonline.org/taxon/wfo-0000605312,Life Form tree Provided by: [B].Global Tree Search,,,,habitat
Clerodendrum splendens G.Don. ex James,EXACT,100,Clerodendrum splendens,Clerodendrum splendens,Clerodendrum splendens G.Don,7999246,Clerodendrum aurantium G.Don | Clerodendrum giletii De Wild. & T.Durand | Clerodendrum rollisonii Rollisson | Clerodendrum splendens var. giletii (De Wild. & T.Durand) B.Thomas,4,,,0,,,0,0,none,wfo-0000886685,matching_api,Clerodendrum splendens,https://www.worldfloraonline.org/taxon/wfo-0000886685,Life Form,Introduced distribution,Introduced distribution,native distribution,habitat
Clerodendrum thomsoniae Balf.f.,EXACT,100,Clerodendrum thomsoniae,Clerodendrum thomsoniae,Clerodendrum thomsoniae Balf.f.,3889087,"Clerodendrum balfourii (B.D.Jacks. ex Dombrain) Dombrain | Clerodendrum delectum Pynaert | Clerodendrum thompsoniae Balf.f. | Clerodendrum thomsonae Balf., 1862 | Clerodendrum thomsoniae var. balfourii B.D.Jacks. | Clerodendrum thomsoniae var. balfourii B.D.Jacks. ex Dombrain",6,bagflower,"Bleeding glory-bower, Glory-bower, Bagflower, Bleeding-heart vine | bagflower | bleeding glory-bower | bleeding-heart vine | bleeding-heart-vine | glory-bower | glorytree",7,Chinese Taipei | Nigeria,NG | TW,3,3,very_low,wfo-0000887105,matching_api,Clerodendrum thomsoniae,https://www.worldfloraonline.org/taxon/wfo-0000887105,"Lisières forestières, probablement seulement naturalisé ; aussi cultivé et échappé de culture ; dans le territoire de la Flore vers 500 m d’altitude, ailleurs de 0 à 500 m. Provided by: [ C ]. Flore d'Afrique Centrale Source: [ 17 ].",Introduced distribution,Introduced distribution,native distribution,habitat
Clusia rosea Jacq. ’Princess’,EXACT,96,Clusia rosea,Clusia rosea,Clusia rosea Jacq.,5421060,Clusia retusa Poir. | Clusia silvicola Britton,2,pitch apple,Florida Clusia | Scotch attorney | Scotch-attorney | autographtree | balsam-apple | pitch apple,6,Colombia | United States of America,CO | US,4,4,very_low,wfo-0000612436,matching_api,Clusia rosea,https://www.worldfloraonline.org/taxon/wfo-0000612436,Clusia rosea grows in and around sinkholes and wet areas in Dry Broadleaf Evergreen Formations – Forests (coppice). Provided by: [ C ]. Leon Levy Native Plant Preserve Source: [ 6 ].,Introduced distribution,Introduced distribution,native distribution,habitat
Coccothrinax readii H.J.Quero R.,EXACT,100,Coccothrinax readii,Coccothrinax readii,Coccothrinax readii H.J.Quero,2735226,,0,Nah-kaax,Nah-kaax | Náaj k'aax,2,,,0,0,none,wfo-0000901549,matching_api,Coccothrinax readii,https://www.worldfloraonline.org/taxon/wfo-0000901549,Life Form tree Provided by: [E].Global Tree Search,,,,habitat
Cocos nucifera L.,EXACT,100,Cocos nucifera,Cocos nucifera,Cocos nucifera L.,2735117,Cocos indica Royle | Cocos mamillaris Blanco | Cocos nana Griff. | Cocos nucifera f. palmyrensis Becc. | Cocos nucifera subsp. synphyllica Becc. | Cocos nucifera var. alangan Blume | Cocos nucifera var. alba Blume | Cocos nucifera var. angustifolia Hassk. | Cocos nucifera var. aurea Anon. | Cocos nucifera var. austera Blume | Cocos nucifera var. bego Blume | Cocos nucifera var. buri Blume | Cocos nucifera var. calimbahin Blume | Cocos nucifera var. capuliformis Blume | Cocos nucifera var. cistiformis Blume | Cocos nucifera var. como Blume | Cocos nucifera var. crassissima Blume | Cocos nucifera var. delicata Blume | Cocos nucifera var. eburnea Blume,19,Copra,Coconut | Coconut Palm | Coconut Tree | Cocore | Copra | Koko,6,Australia | Cocos (Keeling) Islands | Colombia | Philippines | Seychelles | Tonga,AU | CC | CO | PH | SC | TO,51,51,medium,wfo-0000903570,matching_api,Cocos nucifera,https://www.worldfloraonline.org/taxon/wfo-0000903570,Cocos nucifera grows in many habitats from areas of human habitation to sandy beaches. Provided by: [ C ]. Leon Levy Native Plant Preserve Source: [ 23 ].,Introduced distribution,Introduced distribution,native distribution,habitat
Cocos nucifera L. 'King',EXACT,96,Cocos nucifera,Cocos nucifera,Cocos nucifera L.,2735117,Cocos indica Royle | Cocos mamillaris Blanco | Cocos nana Griff. | Cocos nucifera f. palmyrensis Becc. | Cocos nucifera subsp. synphyllica Becc. | Cocos nucifera var. alangan Blume | Cocos nucifera var. alba Blume | Cocos nucifera var. angustifolia Hassk. | Cocos nucifera var. aurea Anon. | Cocos nucifera var. austera Blume | Cocos nucifera var. bego Blume | Cocos nucifera var. buri Blume | Cocos nucifera var. calimbahin Blume | Cocos nucifera var. capuliformis Blume | Cocos nucifera var. cistiformis Blume | Cocos nucifera var. como Blume | Cocos nucifera var. crassissima Blume | Cocos nucifera var. delicata Blume | Cocos nucifera var. eburnea Blume,19,Copra,Coconut | Coconut Palm | Coconut Tree | Cocore | Copra | Koko,6,Australia | Cocos (Keeling) Islands | Colombia | Philippines | Seychelles | Tonga,AU | CC | CO | PH | SC | TO,51,51,medium,wfo-0000903570,matching_api,Cocos nucifera,https://www.worldfloraonline.org/taxon/wfo-0000903570,Cocos nucifera grows in many habitats from areas of human habitation to sandy beaches. Provided by: [ C ]. Leon Levy Native Plant Preserve Source: [ 23 ].,Introduced distribution,Introduced distribution,native distribution,habitat
Cocos nucifera L. 'Maypan',EXACT,96,Cocos nucifera,Cocos nucifera,Cocos nucifera L.,2735117,Cocos indica Royle | Cocos mamillaris Blanco | Cocos nana Griff. | Cocos nucifera f. palmyrensis Becc. | Cocos nucifera subsp. synphyllica Becc. | Cocos nucifera var. alangan Blume | Cocos nucifera var. alba Blume | Cocos nucifera var. angustifolia Hassk. | Cocos nucifera var. aurea Anon. | Cocos nucifera var. austera Blume | Cocos nucifera var. bego Blume | Cocos nucifera var. buri Blume | Cocos nucifera var. calimbahin Blume | Cocos nucifera var. capuliformis Blume | Cocos nucifera var. cistiformis Blume | Cocos nucifera var. como Blume | Cocos nucifera var. crassissima Blume | Cocos nucifera var. delicata Blume | Cocos nucifera var. eburnea Blume,19,Copra,Coconut | Coconut Palm | Coconut Tree | Cocore | Copra | Koko,6,Australia | Cocos (Keeling) Islands | Colombia | Philippines | Seychelles | Tonga,AU | CC | CO | PH | SC | TO,51,51,medium,wfo-0000903570,matching_api,Cocos nucifera,https://www.worldfloraonline.org/taxon/wfo-0000903570,Cocos nucifera grows in many habitats from areas of human habitation to sandy beaches. Provided by: [ C ]. Leon Levy Native Plant Preserve Source: [ 23 ].,Introduced distribution,Introduced distribution,native distribution,habitat
Coffea arabica L.,EXACT,100,Coffea arabica,Coffea arabica,Coffea arabica L.,2895345,Coffea arabica f. abyssinica A.Chev. | Coffea arabica subsp. abyssinica A.Chev. | Coffea arabica subsp. amarella A.Froehner | Coffea arabica subsp. angustifolia Cramer | Coffea arabica subsp. bourbon Rodr. | Coffea arabica subsp. bourbon Rodr. ex Choussy | Coffea arabica subsp. brevistipulata Cif. | Coffea arabica subsp. bullata Cramer | Coffea arabica subsp. columnaris Ottol. | Coffea arabica subsp. columnaris Ottol. ex Cramer | Coffea arabica subsp. culta A.Chev. | Coffea arabica subsp. cultoides A.Chev. | Coffea arabica subsp. erecta Ottol. | Coffea arabica subsp. erecta Ottol. ex Cramer | Coffea arabica subsp. latifolia A.Chev. | Coffea arabica subsp. longistipulata Cif. | Coffea arabica subsp. maragogype A.Froehner | Coffea arabica subsp. mokka Cramer | Coffea arabica subsp. monosperma Ottol. & Cramer | Coffea arabica subsp. murta Lalière,20,Coffee,"Arabian coffee | Arabica coffee, Arabian coffee, Coffee tree, Coffee, | Coffee | arabica coffee",4,Australia | Chinese Taipei | Fiji | United Kingdom of Great Britain and Northern Ireland,AU | FJ | GB | TW,13,13,low,wfo-0000910097,matching_api,Coffea arabica,https://www.worldfloraonline.org/taxon/wfo-0000910097,Terrícola Provided by: [ D ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Introduced distribution,Introduced distribution,native distribution,habitat
Coffea arabica L. 'Bourbon',EXACT,96,Coffea arabica,Coffea arabica,Coffea arabica L.,2895345,Coffea arabica f. abyssinica A.Chev. | Coffea arabica subsp. abyssinica A.Chev. | Coffea arabica subsp. amarella A.Froehner | Coffea arabica subsp. angustifolia Cramer | Coffea arabica subsp. bourbon Rodr. | Coffea arabica subsp. bourbon Rodr. ex Choussy | Coffea arabica subsp. brevistipulata Cif. | Coffea arabica subsp. bullata Cramer | Coffea arabica subsp. columnaris Ottol. | Coffea arabica subsp. columnaris Ottol. ex Cramer | Coffea arabica subsp. culta A.Chev. | Coffea arabica subsp. cultoides A.Chev. | Coffea arabica subsp. erecta Ottol. | Coffea arabica subsp. erecta Ottol. ex Cramer | Coffea arabica subsp. latifolia A.Chev. | Coffea arabica subsp. longistipulata Cif. | Coffea arabica subsp. maragogype A.Froehner | Coffea arabica subsp. mokka Cramer | Coffea arabica subsp. monosperma Ottol. & Cramer | Coffea arabica subsp. murta Lalière,20,Coffee,"Arabian coffee | Arabica coffee, Arabian coffee, Coffee tree, Coffee, | Coffee | arabica coffee",4,Australia | Chinese Taipei | Fiji | United Kingdom of Great Britain and Northern Ireland,AU | FJ | GB | TW,13,13,low,wfo-0000910097,matching_api,Coffea arabica,https://www.worldfloraonline.org/taxon/wfo-0000910097,Terrícola Provided by: [ D ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Introduced distribution,Introduced distribution,native distribution,habitat
Coffea arabica L. 'Nana',EXACT,96,Coffea arabica,Coffea arabica,Coffea arabica L.,2895345,Coffea arabica f. abyssinica A.Chev. | Coffea arabica subsp. abyssinica A.Chev. | Coffea arabica subsp. amarella A.Froehner | Coffea arabica subsp. angustifolia Cramer | Coffea arabica subsp. bourbon Rodr. | Coffea arabica subsp. bourbon Rodr. ex Choussy | Coffea arabica subsp. brevistipulata Cif. | Coffea arabica subsp. bullata Cramer | Coffea arabica subsp. columnaris Ottol. | Coffea arabica subsp. columnaris Ottol. ex Cramer | Coffea arabica subsp. culta A.Chev. | Coffea arabica subsp. cultoides A.Chev. | Coffea arabica subsp. erecta Ottol. | Coffea arabica subsp. erecta Ottol. ex Cramer | Coffea arabica subsp. latifolia A.Chev. | Coffea arabica subsp. longistipulata Cif. | Coffea arabica subsp. maragogype A.Froehner | Coffea arabica subsp. mokka Cramer | Coffea arabica subsp. monosperma Ottol. & Cramer | Coffea arabica subsp. murta Lalière,20,Coffee,"Arabian coffee | Arabica coffee, Arabian coffee, Coffee tree, Coffee, | Coffee | arabica coffee",4,Australia | Chinese Taipei | Fiji | United Kingdom of Great Britain and Northern Ireland,AU | FJ | GB | TW,13,13,low,wfo-0000910097,matching_api,Coffea arabica,https://www.worldfloraonline.org/taxon/wfo-0000910097,Terrícola Provided by: [ D ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Introduced distribution,Introduced distribution,native distribution,habitat
Coffea canephora Pierre ex A.Froehner,EXACT,100,Coffea canephora,Coffea canephora,Coffea canephora Pierre ex A.Froehner,2895528,Coffea arabica var. stuhlmannii A.Froehner | Coffea bukobensis Zimm. | Coffea canephora Pierre | Coffea canephora f. sankuruensis De Wild. | Coffea canephora f. sankuruensis DeWild. | Coffea canephora var. crassifolia Laurent | Coffea canephora var. crassifolia Laurent ex De Wild. | Coffea canephora var. crassifolia Lautent | Coffea canephora var. crassifolia Lautent ex DeWild. | Coffea canephora var. gossweileri A.Chev. | Coffea canephora var. hiernii Pierre | Coffea canephora var. hiernii Pierre ex De Wild. | Coffea canephora var. hiernii Pierre ex DeWild. | Coffea canephora var. hinaultii Pierre | Coffea canephora var. hinaultii Pierre ex De Wild. | Coffea canephora var. hinaultii Pierre ex DeWild. | Coffea canephora var. kouilouensis De Wild. | Coffea canephora var. kouilouensis DeWild. | Coffea canephora var. laurentii (De Wild.) A.Chev. | Coffea canephora var. maclaudii (A.Chev.) A.Chev.,20,Robusta Coffee,Congo coffeetree | Conilon | Robusta Coffee | cafeiro,4,"Afghanistan | Angola | Benin | Brunei Darussalam | Cameroon | Central African Republic | Congo | Congo, Democratic Republic of the | Costa Rica | Côte d’Ivoire | Dominica | Equatorial Guinea | Gabon | Ghana | Guinea | Indonesia | Jamaica | Madagascar | Malaysia | Mayotte | Netherlands | New Caledonia | Nigeria | Philippines | Portugal | Puerto Rico | Réunion | Sao Tome and Principe | Sierra Leone | South Africa | Sri Lanka | Tanzania, United Republic of | Thailand | Trinidad and Tobago | Uganda | United States of America",AF | AO | BJ | BN | CD | CF | CG | CI | CM | CR | DM | GA | GH | GN | GQ | ID | JM | LK | MG | MY | NC | NG | NL | PH | PR | PT | RE | SL | ST | TH | TT | TZ | UG | US | YT | ZA,252,252,high,wfo-0000910571,matching_api,Coffea canephora,https://www.worldfloraonline.org/taxon/wfo-0000910571,Terrícola Provided by: [ B ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Introduced distribution,Introduced distribution,native distribution,habitat
Colocasia esculenta (L.) Schott.,EXACT,100,Colocasia esculenta,Colocasia esculenta,Colocasia esculenta (L.) Schott,5330776,,0,Taro,"Bore | Coco yam | Katchu | Majimbi | Malanga | Taro | Taro, Cocoyam, Dasheen, Wild taro, Eddo, Elephant's ear | Wild Taro",8,Australia | China | Chinese Taipei | Colombia | India | Indonesia | Japan | Papua New Guinea | Philippines | Spain | Uganda,AU | CN | CO | ES | ID | IN | JP | PG | PH | TW | UG,80,80,medium,wfo-0000917419,matching_api,Colocasia esculenta,https://www.worldfloraonline.org/taxon/wfo-0000917419,Life Form,Introduced distribution,Introduced distribution,native distribution,habitat
Colvillea racemosa Bojer ex Hook.,EXACT,100,Colvillea racemosa,Colvillea racemosa,Colvillea racemosa Bojer ex Hook.,10704829,,0,,,0,,,0,0,none,wfo-0000186694,matching_api,Colvillea racemosa,https://www.worldfloraonline.org/taxon/wfo-0000186694,Life Form tree Provided by: [E].Global Tree Search,Introduced distribution,Introduced distribution,native distribution,habitat
Cordia myxa L. non Forssk.,EXACT,100,Cordia myxa,Cordia myxa,Cordia myxa L.,5341290,Cordia domestica Roth | Cordia domestica var. evolutior (C.B.Clarke) M.R.Almeida | Cordia evolutior (C.B.Clarke) Gamble | Cordia fulvosa Wight | Cordia fulvosa var. evolutior C.B.Clarke | Cordia latifolia Wall. | Cordia latifolia Wall. ex G.Don | Cordia myxa var. domestica (Roth) C.B.Clarke | Cordia officinalis Lam. | Cordia paniculata Roth | Cordia petta-pelioporet B.Heyne | Cordia petta-pelioporet B.Heyne ex Roth | Cordia scabrifolia Benth. | Cordia scabrifolia Benth. ex Griseb. | Cordia sebestena Forssk.,15,Lasoda,Assyrian Plum | Assyrian-plum | Clammy cherry | Indian cherry | Indian-cherry | Lasoda | Mrovu | Salelo | Sapistan plum | Sebesten,10,Australia,AU,7,7,very_low,wfo-0000620765,matching_api,Cordia myxa,https://www.worldfloraonline.org/taxon/wfo-0000620765,Forêts claires. Provided by: [ B ]. Flore d'Afrique Centrale Source: [ 29 ].,Sénégal | Guinée portugaise | Guinée | Mali | Haute-Volta | Côte d'Ivoire | Ghana | Cameroun | Éthiopie | Tanzanie | Malawi | Mozambique | Rhodésie | Madagascar; Asie mineure | Asie tropicale | Malaisie | Queensland. Provided by: [ B ]. Flore d'Afrique Centrale Source: [ 29 ].,"Sénégal, Guinée portugaise, Guinée, Mali, Haute-Volta, Côte d'Ivoire, Ghana, Cameroun, Éthiopie, Tanzanie, Malawi, Mozambique, Rhodésie, Madagascar; Asie mineure, Asie tropicale, Malaisie, Queensland. Provided by: [ B ]. Flore d'Afrique Centrale Source: [ 29 ].",distribution,habitat
Couroupita guianensis Auhl.,EXACT,87,Couroupita guianensis,Couroupita guianensis,Couroupita guianensis Aubl.,3082562,Couroupita acreensis R.Knuth | Couroupita antillana Miers | Couroupita froesii R.Knuth | Couroupita guianensis var. surinamensis (Mart. ex Berg) Eyma | Couroupita idolica Dwyer | Couroupita membranacea Miers | Couroupita peruviana O.Berg | Couroupita saintcroixiana R.Knuth | Couroupita surinamensis Mart. | Couroupita surinamensis Mart. ex Berg | Couroupita venezuelensis R.Knuth,11,Cannonball Tree,Cannonball Tree,1,Brazil | Colombia | Ecuador | Nicaragua,BR | CO | EC | NI,104,104,medium,wfo-0000775148,matching_api,Couroupita guianensis,https://www.worldfloraonline.org/taxon/wfo-0000775148,Terrícola Provided by: [ B ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Introduced distribution,Introduced distribution,native distribution,habitat
Ctenanthe amabilis (E.Morren) H.A.Kenn. & Nicolson,EXACT,100,Ctenanthe amabilis,Ctenanthe amabilis,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson,2762431,,0,,,0,Brazil,BR,1,1,very_low,wfo-0000365193,matching_api,Ctenanthe amabilis,https://www.worldfloraonline.org/taxon/wfo-0000365193,Terrícola Provided by: [ A ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Introduced distribution,Introduced distribution,native distribution,habitat
Cubanola domingensis (Britton) Aiella,EXACT,100,Cubanola domingensis,Cubanola domingensis,Cubanola domingensis (Britton) Aiello,2893015,,0,,,0,Dominican Republic,DO,1,1,very_low,wfo-0000933427,matching_api,Cubanola domingensis,https://www.worldfloraonline.org/taxon/wfo-0000933427,Life Form tree Provided by: [D].Global Tree Search,,,,habitat
Curculigo capitulata (Lour.) Kantze.,EXACT,88,Curculigo capitulata,Curculigo capitulata,Curculigo capitulata (Lour.) Kuntze,2852556,Curculigo foliis-variegatis Pynaert | Curculigo fuziwarae Yamam. | Curculigo glabra Merr. | Curculigo recurvata Dryand. | Curculigo recurvata W.T.Aiton | Curculigo recurvata var. variegatea W.Bull | Curculigo strobiliformis D.Fang & D.H.Qin | Curculigo sumatrana Roxb.,8,palm-grass,palm-grass,1,Australia | China | Chinese Taipei,AU | CN | TW,8,8,very_low,wfo-0000764772,matching_api,Curculigo capitulata,https://www.worldfloraonline.org/taxon/wfo-0000764772,Life Form,Introduced distribution,Introduced distribution,native distribution,habitat
Cyanastrum cordifolium Oliv.,EXACT,100,Cyanastrum cordifolium,Cyanastrum cordifolium,Cyanastrum cordifolium Oliv.,2860900,Cyanastrum cordifolium var. compactum (Oliv.) R.T.Clausen,1,,,0,,,0,0,none,wfo-0000764829,matching_api,Cyanastrum cordifolium,https://www.worldfloraonline.org/taxon/wfo-0000764829,"Zone steppique en forêt, forêt primaire ou secondarisée, marécages à Raphia, sur roches intraforestières, sur sols sableux et latéritiques ; dans le territoire de la Flore, à basse altitude, ailleurs à 0–1000 m. Provided by: [ B ]. Flore d'Afrique Centrale Source: [ 6 ].",Dans le territoire de la Flore | rare et seulement connu de la République démocratique du Congo | dans le domaine Bas-Guinéen | secteur du Bas-Congo ; ailleurs | dans la Région Guinéo-Congolaise (Ghana | Nigéria | Cameroun | Gabon). Provided by: [ B ]. Flore d'Afrique Centrale Source: [ 6 ].,"Dans le territoire de la Flore, rare et seulement connu de la République démocratique du Congo, dans le domaine Bas-Guinéen, secteur du Bas-Congo ; ailleurs, dans la Région Guinéo-Congolaise (Ghana, Nigéria, Cameroun, Gabon). Provided by: [ B ]. Flore d'Afrique Centrale Source: [ 6 ].",distribution,habitat
Cyperus diffusus Vahl.,EXACT,100,Cyperus diffusus,Cyperus diffusus,Cyperus diffusus Vahl,2713932,Cyperus bancanus subsp. brevibracteatus E.G.Camus | Cyperus diffusus subsp. brevibracteatus (E.G.Camus) Kük. | Cyperus diffusus subsp. celebicus (Miq.) Kük. | Cyperus diffusus subsp. latifolius L.K.Dai | Cyperus diffusus subsp. macrostachyus Boeck. | Cyperus diffusus subsp. multispicatus S.M.Huang | Cyperus diffusus subsp. turgidulus Suringar | Cyperus diffusus subsp. umbrosus (Lindl. ex Nees) Kük. | Cyperus diffusus var. celebicus (Miq.) Kük. | Cyperus holophyllus Miq. ex DeVriese | Cyperus holophyllus subsp. celebicus Miq. | Cyperus laxus subsp. multispicatus (S.M.Huang) S.M.Huang,12,Diffused Flatsedge,Diffused Flatsedge | Dwarf Umbrella Grass,2,Chinese Taipei | Colombia,CO | TW,9,9,very_low,wfo-0000371726,matching_api,Cyperus diffusus,https://www.worldfloraonline.org/taxon/wfo-0000371726,Life Form,,,,habitat
