input_name,gbif_matchType,gbif_confidence,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_usageKey,gbif_synonyms,gbif_synonym_count,gbif_english_name,gbif_english_names,gbif_english_name_count,gbif_native_countries,gbif_native_country_codes,gbif_native_total_records,gbif_native_sampled_records,gbif_native_confidence,wfo_taxon_id,wfo_id_method,wfo_query_used,wfo_url,wfo_habitat,wfo_native_distribution,wfo_distribution_raw,wfo_distribution_label,wfo_habitat_label
Aristolochia fimbriata Cham.,EXACT,100,Aristolochia fimbriata,Aristolochia fimbriata,Aristolochia fimbriata Cham.,3589582,Aristolochia bomplandii Tenore | Aristolochia bonplandii Ten. | Aristolochia ciliata Hook. | Aristolochia ciliosa Benth. | Aristolochia insignis Verschaff.,5,,,0,Argentina | Bolivia (Plurinational State of) | Brazil | Cuba | Uruguay,AR | BO | BR | CU | UY,62,62,medium,wfo-0000547788,matching_api,Aristolochia fimbriata,https://www.worldfloraonline.org/taxon/wfo-0000547788,Terrícola Provided by: [ B ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Introduced distribution,Introduced distribution,native distribution,habitat
Aristolochia gigantea Mart. et Zucc.,EXACT,100,Aristolochia gigantea,Aristolochia gigantea,Aristolochia gigantea Mart. & Zucc.,3589283,Aristolochia mariquitensis Mutis,1,duckflower,Brazilian Dutchman's pipe | duckflower,2,Brazil,BR,243,243,high,wfo-0000547827,matching_api,Aristolochia gigantea,https://www.worldfloraonline.org/taxon/wfo-0000547827,Life Form,,,,habitat
Aristolochia grandiflora Sw.,EXACT,100,Aristolochia grandiflora,Aristolochia grandiflora,Aristolochia grandiflora Sw.,2874014,Aristolochia gigantea Hook. | Aristolochia gigas Lindl. | Aristolochia gigas var. sturtevantii S.Watson | Aristolochia gorgona M.A.Blanco | Aristolochia grandiflora var. hookeri Duch. | Aristolochia pichinchensis Pfeifer | Aristolochia sturtevantii (S.Watson) Mottet | Aristolochia tapilulensis Beutelsp.,8,duckflower,Pelicanflower | duck-flower | duckflower | pelican-flower,4,,,0,0,none,wfo-0000547851,matching_api,Aristolochia grandiflora,https://www.worldfloraonline.org/taxon/wfo-0000547851,Life Form,Introduced distribution,Introduced distribution,native distribution,habitat
Aristolochia labiata Willd.,EXACT,100,Aristolochia labiata,Aristolochia labiata,Aristolochia labiata Willd.,2874002,Aristolochia brasiliensis Mart. | Aristolochia brasiliensis var. galeata (Mart.) Hoehne | Aristolochia brasiliensis var. macrophylla Duch. | Aristolochia brasiliensis var. macrophylla Mart. | Aristolochia brasiliensis var. parviflora Duch. | Aristolochia brasiliensis var. parviflora Mart. | Aristolochia galeata Mart. & Zucc. | Aristolochia labiosa Ker Gawl. | Aristolochia labiosa KerGawl. | Aristolochia macrorrhyncha Hoehne | Aristolochia ornithocephala Hook. | Aristolochia ringens Link & Otto,12,Mottled dutchman's pipe,Mottled dutchman's pipe | rooster-flower,2,Brazil,BR,556,556,high,wfo-0000547955,matching_api,Aristolochia labiata,https://www.worldfloraonline.org/taxon/wfo-0000547955,Terrícola Provided by: [ C ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Introduced distribution,Introduced distribution,native distribution,habitat
Aristolochia maxima L.,EXACT,85,Aristolochia maxima,Aristolochia maxima,Aristolochia maxima Jacq.,2873997,Aristolochia asperifolia Ule | Aristolochia asperifolia Ule ex Pilg. | Aristolochia biflora Duch. ex Klotzsch | Aristolochia biflora Willd. | Aristolochia biflora Willd. ex Duch. | Aristolochia dammeriana Mast. | Aristolochia geminiflora Kunth | Aristolochia maxima var. angustifolia Duch. | Aristolochia maxima var. geminiflora (Kunth) Duch. | Aristolochia maxima var. maxima | Aristolochia mexicana D.Dietr. | Aristolochia reticulata Holton | Aristolochia reticulata Holton ex Duch. | Aristolochia sprucei Hoehne | Aristolochia wageneriana Schltdl.,15,Florida Dutchman's Pipe,Florida Dutchman's Pipe,1,Colombia,CO,3,3,very_low,wfo-0000548053,matching_api,Aristolochia maxima,https://www.worldfloraonline.org/taxon/wfo-0000548053,Life Form,Introduced distribution,Introduced distribution,native distribution,habitat
Aristolochia ringens Vahl,EXACT,100,Aristolochia ringens,Aristolochia ringens,Aristolochia ringens Vahl,2873998,Aristolochia galeata Mart. & Zucc. | Aristolochia globiflora Mutis | Aristolochia grandiflora Vahl | Aristolochia turbacensis Kunth,4,Gaping Dutchman's Pipe,Foula koukoui | Gaping Dutchman's Pipe,2,Australia | Colombia,AU | CO,2,2,very_low,wfo-0000548271,matching_api,Aristolochia ringens,https://www.worldfloraonline.org/taxon/wfo-0000548271,Life Form,Introduced distribution,Introduced distribution,native distribution,habitat
Aristolochia trilobata L.,EXACT,100,Aristolochia trilobata,Aristolochia trilobata,Aristolochia trilobata L.,8358388,Aristolochia appendiculata Vell. | Aristolochia caracasana Spreng. | Aristolochia macroura var. subtrifida Gomez | Aristolochia trifida Lam. | Aristolochia triloba Salisb.,5,Dutchman's Pipe,Bejuco De Santiago | Dutchman's Pipe,2,Argentina | Brazil | Paraguay | Uruguay,AR | BR | PY | UY,212,212,high,wfo-0000548425,matching_api,Aristolochia trilobata,https://www.worldfloraonline.org/taxon/wfo-0000548425,Terrícola Provided by: [ D ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Throughout tropic Central and South America. Provided by: [ C ]. Flora de Panama Source: [ 5 ].,Throughout tropic Central and South America. Provided by: [ C ]. Flora de Panama Source: [ 5 ].,distribution,habitat
Aristolochia zollingeriana Miq,EXACT,100,Aristolochia zollingeriana,Aristolochia zollingeriana,Aristolochia zollingeriana Miq.,5836315,Aristolochia hastata Klotzsch | Aristolochia kankaoensis Sasaki | Aristolochia kankauensis Sasaki | Aristolochia ramosii Merr. | Aristolochia roxburghiana subsp. kankaoensis (Sasaki) Kitam. | Aristolochia roxburghiana subsp. kankauensis (Sasaki) Kitam. | Aristolochia tagala subsp. kankauensis (Sasaki) T.Yamaz. | Aristolochia tagala var. kankaoensis (Sasaki) T.Yamaz.,8,,,0,Chinese Taipei,TW,4,4,very_low,wfo-0000548485,matching_api,Aristolochia zollingeriana,https://www.worldfloraonline.org/taxon/wfo-0000548485,Life Form,,,,habitat
Asplenium nidus L.,EXACT,100,Asplenium nidus,Asplenium nidus,Asplenium nidus L.,2650676,Asplenium ellipticum (Fée) Copel. | Asplenium ficifolium Goldm. | Asplenium nidus var. nidus | Asplenium nidus var. plicatum Alderw. | Asplenium scolopendrium Lour. | Asplenium simplex Mett.,6,Hawai'I Birdnest Fern,Hawai'I Birdnest Fern | Katafa | bird's-nest fern | nest fern,4,Australia | Chinese Taipei | India | Malaysia | Papua New Guinea | Seychelles | Tonga | United States of America,AU | IN | MY | PG | SC | TO | TW | US,105,105,medium,wfo-0001108020,matching_api,Asplenium nidus,https://www.worldfloraonline.org/taxon/wfo-0001108020,Life Form,Introduced distribution,Introduced distribution,native distribution,habitat
Averrhoa carambola L.,EXACT,100,Averrhoa carambola,Averrhoa carambola,Averrhoa carambola L.,2891641,Averrhoa acutangula Stokes | Averrhoa microphylla Tardieu | Averrhoa pentandra Blanco,3,caramba,"Carambola | Kamranga | Madiro Rirana | Wajou Wachizoungou, Waju wamotsi | blimbing | caramba",6,Chinese Taipei,TW,2,2,very_low,wfo-0000557405,matching_api,Averrhoa carambola,https://www.worldfloraonline.org/taxon/wfo-0000557405,Terrícola Provided by: [ J ]. Brazilian Flora 2020 project - Projeto Flora do Brasil 2020,Introduced distribution,Introduced distribution,native distribution,habitat
