input_name,gbif_matchType,gbif_confidence,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_usageKey,gbif_synonyms,gbif_english_name,gbif_english_names,gbif_native_countries,gbif_native_country_codes,gbif_native_total_records,gbif_native_sampled_records,gbif_native_confidence,wfo_taxon_id,wfo_query_used,wfo_url,wfo_native_areas_found_in,wfo_native_countries,powo_native,powo_url,powo_taxon_id,powo_error
Colvillea racemosa Bojer ex Hook.,EXACT,100,Colvillea racemosa,Colvillea racemosa,Colvillea racemosa Bojer ex Hook.,10704829,,,,,,0,0,none,wfo-0000186694,Colvillea racemosa,https://www.worldfloraonline.org/taxon/wfo-0000186694,Africa Western Indian Ocean Madagascar | Africa | Western Indian Ocean | Madagascar,Ancient Rome | Madagascar | Cameroon,"Madagascar
Introduced into:
Bangladesh | India | Trinidad-Tobago
Classification
Kingdom
Plantae
Phylum
Streptophyta
Class
Equisetopsida
Subclass
Magnoliidae
Order
Fabales
View Order Tree
opens in a new tab
Family
Fabaceae
View Family Tree
opens in a new tab
Genus
Colvillea
View in Tree of Life
opens in a new tab
Species
Colvillea racemosa
Kew's Tree of Life Explorer
Discover the flowering plant tree of life and the genomic data used to build it.
View the Tree of Life
Publications
Sort
Alphabetically
Newest first
Oldest first
POWO follows these aut",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A486928-1,urn:lsid:ipni.org:names:486928-1,
Cordia myxa L. non Forssk.,EXACT,100,Cordia myxa,Cordia myxa,Cordia myxa L.,5341290,Cordia domestica Roth | Cordia domestica var. evolutior (C.B.Clarke) M.R.Almeida | Cordia evolutior (C.B.Clarke) Gamble | Cordia fulvosa Wight | Cordia fulvosa var. evolutior C.B.Clarke | Cordia latifolia Wall. | Cordia latifolia Wall. ex G.Don | Cordia myxa var. domestica (Roth) C.B.Clarke | Cordia officinalis Lam. | Cordia paniculata Roth | Cordia petta-pelioporet B.Heyne | Cordia petta-pelioporet B.Heyne ex Roth | Cordia scabrifolia Benth. | Cordia scabrifolia Benth. ex Griseb. | Cordia sebestena Forssk.,Lasoda,Assyrian Plum | Assyrian-plum | Clammy cherry | Indian cherry | Indian-cherry | Lasoda | Mrovu | Salelo | Sapistan plum | Sebesten,Australia,AU,7,7,very_low,wfo-0000620765,Cordia myxa,https://www.worldfloraonline.org/taxon/wfo-0000620765,Asia-Tropical Indian Subcontinent Nepal | Argyreia arborea Lour. | Bourreria glabra (Roth) G.Don | Cordia latifolia Wall. ex G.Don | Cordia officinalis Lam. | Cordia paniculata Roth | Cordia petta-pelioporet B.Heyne ex Roth | Cordia scabrifolia Griseb. | Cordia sebestena Forssk. | Ehretia glabra Roth | Ehretia glabra Roth ex Roem. & Schult. | Gerascanthus myxus (L.) Borhidi | Lithocardium myxa Kuntze | Quarena indica Raf. | Sebestena myxa (L.) J.Presl | Sebestena officinalis Gaertn. | Vitex gomphophylla Baker | Asia-Tropical | Indian Subcontinent | Nepal | Synonyms | Argyreia arborea | Lour. | Bourreria glabra | (Roth) G.Don | Cordia latifolia | Wall. ex G.Don | Cordia officinalis | Lam. | Cordia paniculata | Roth | Cordia petta-pelioporet | B.Heyne ex Roth | Cordia scabrifolia | Griseb. | Cordia sebestena | Forssk. | Ehretia glabra | Roth ex Roem. & Schult. | Gerascanthus myxus | (L.) Borhidi | Lithocardium myxa | Kuntze | Quarena indica | Raf. | Sebestena myxa | (L.) J.Presl | Sebestena officinalis | Gaertn. | Vitex gomphophylla | Baker,Nepal | Germany | United States,"Assam | Bangladesh | India | Iran | Laos | Myanmar | Nepal | Pakistan | Sri Lanka | Vietnam
Introduced into:
Algeria | Benin | Burkina | Cameroon | Comoros | DR Congo | East Aegean Is. | Egypt | Ethiopia",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A114380-1,urn:lsid:ipni.org:names:114380-1,
Couroupita guianensis Auhl.,EXACT,87,Couroupita guianensis,Couroupita guianensis,Couroupita guianensis Aubl.,3082562,Couroupita acreensis R.Knuth | Couroupita antillana Miers | Couroupita froesii R.Knuth | Couroupita guianensis var. surinamensis (Mart. ex Berg) Eyma | Couroupita idolica Dwyer | Couroupita membranacea Miers | Couroupita peruviana O.Berg | Couroupita saintcroixiana R.Knuth | Couroupita surinamensis Mart. | Couroupita surinamensis Mart. ex Berg | Couroupita venezuelensis R.Knuth,Cannonball Tree,Cannonball Tree,Brazil | Colombia | Ecuador | Nicaragua,BR | CO | EC | NI,104,104,medium,wfo-0000775148,Couroupita guianensis,https://www.worldfloraonline.org/taxon/wfo-0000775148,Southern America Brazil Brazil North | Southern America | Brazil | Brazil North | Acre | Amazonas | Parí | Goiás | Central America Panamá | Central America | Panamá | Northern South America French Guiana | Northern South America | French Guiana | Guyana | Suriname | Venezuela | Western South America Bolivia | Western South America | Bolivia | Colombia | Ecuador | Peru,United States | Brazil | Israel | Venezuela | Mexico | Cuba | France | Guyana | Suriname | Kingdom of the Netherlands | Netherlands | Colombia | Ecuador | Chile | Peru,"Bolivia | Brazil North | Colombia | Ecuador | French Guiana | Guyana | Panamá | Peru | Suriname | Venezuela
Introduced into:
Andaman Is. | Bangladesh | Brazil Southeast | Costa Rica | Cuba | Dominican Republic | Florida | Haiti",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A592385-1,urn:lsid:ipni.org:names:592385-1,
Ctenanthe amabilis (E.Morren) H.A.Kenn. & Nicolson,EXACT,100,Ctenanthe amabilis,Ctenanthe amabilis,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson,2762431,,,,Brazil,BR,1,1,very_low,wfo-0000365193,Ctenanthe amabilis,https://www.worldfloraonline.org/taxon/wfo-0000365193,Southern America Brazil Brazil Southeast | Southern America | Brazil | Brazil Southeast,United States,Brazil Southeast,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A1192593-2,urn:lsid:ipni.org:names:1192593-2,
Cubanola domingensis (Britton) Aiella,EXACT,100,Cubanola domingensis,Cubanola domingensis,Cubanola domingensis (Britton) Aiello,2893015,,,,Dominican Republic,DO,1,1,very_low,wfo-0000933427,Cubanola domingensis,https://www.worldfloraonline.org/taxon/wfo-0000933427,Southern America Caribbean Dominican Republic | Portlandia domingensis Britton | Southern America | Caribbean | Dominican Republic | Synonyms | Portlandia domingensis | Britton,United Kingdom | Dominican Republic | United States,Dominican Republic,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A72066-2,urn:lsid:ipni.org:names:72066-2,
Curculigo capitulata (Lour.) Kantze.,EXACT,88,Curculigo capitulata,Curculigo capitulata,Curculigo capitulata (Lour.) Kuntze,2852556,Curculigo foliis-variegatis Pynaert | Curculigo fuziwarae Yamam. | Curculigo glabra Merr. | Curculigo recurvata Dryand. | Curculigo recurvata W.T.Aiton | Curculigo recurvata var. variegatea W.Bull | Curculigo strobiliformis D.Fang & D.H.Qin | Curculigo sumatrana Roxb.,palm-grass,palm-grass,Australia | China | Chinese Taipei,AU | CN | TW,8,8,very_low,wfo-0000764772,Curculigo capitulata,https://www.worldfloraonline.org/taxon/wfo-0000764772,Asia-Temperate China China South-Central | Asia-Temperate | China | China South-Central | China Southeast | Hainan | Tibet | Eastern Asia Taiwan | Eastern Asia | Taiwan | Asia-Tropical Indian Subcontinent Assam | Asia-Tropical | Indian Subcontinent | Assam | Bangladesh | East Himalaya | Nepal | Indo-China Laos | Indo-China | Laos | Myanmar | Nicobar Is. | Thailand | Vietnam | Malesia Jawa | Malesia | Jawa | Lesser Sunda Is. | Malaya | Maluku | Philippines | Sulawesi | Sumatera | Papuasia New Guinea | Papuasia | New Guinea | Solomon Is. | Australasia Australia Queensland | Australasia | Australia | Queensland,United States | People's Republic of China | Taiwan | Tibet | Cameroon | Bangladesh | Nepal | Laos | Myanmar | Thailand | Vietnam | Indonesia | Singapore | Timor-Leste | Malaysia | Czech Republic | Russia | Democratic Republic of the Congo | Philippines | Netherlands | France | Australia | New Zealand | Solomon Islands | Cuba,Assam | Bangladesh | China South-Central | China Southeast | East Himalaya | Hainan | Jawa | Laos | Lesser Sunda Is. | Malaya | Maluku | Myanmar | Nepal | New Guinea | Nicobar Is. | Philippines | Queensland,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A64141-1,urn:lsid:ipni.org:names:64141-1,
Cyanastrum cordifolium Oliv.,EXACT,100,Cyanastrum cordifolium,Cyanastrum cordifolium,Cyanastrum cordifolium Oliv.,2860900,Cyanastrum cordifolium var. compactum (Oliv.) R.T.Clausen,,,,,0,0,none,wfo-0000764829,Cyanastrum cordifolium,https://www.worldfloraonline.org/taxon/wfo-0000764829,Africa West Tropical Africa Nigeria | West-Central Tropical Africa Cameroon | Congo | Equatorial Guinea | Gabon | Zaire | Cyanastrum cordifolium var. compactum R.T.Clausen | Schoenlandia gabonensis Cornu | Africa | West Tropical Africa | Nigeria | West-Central Tropical Africa | Cameroon | Synonyms | Cyanastrum cordifolium var. compactum | R.T.Clausen | Schoenlandia gabonensis | Cornu | Other Local Names | Name | Language | Country | cyanastrum (angl.).,Angola | Zambia | Republic of the Congo | Democratic Republic of the Congo | Equatorial Guinea | Gabon | Djibouti | Zaire | Ancient Rome | Nigeria | Cameroon | United Kingdom | Romania | France,Cameroon | Congo | DR Congo | Equatorial Guinea | Gabon,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A429674-1,urn:lsid:ipni.org:names:429674-1,
Cyperus diffusus Vahl.,EXACT,100,Cyperus diffusus,Cyperus diffusus,Cyperus diffusus Vahl,2713932,Cyperus bancanus subsp. brevibracteatus E.G.Camus | Cyperus diffusus subsp. brevibracteatus (E.G.Camus) Kük. | Cyperus diffusus subsp. celebicus (Miq.) Kük. | Cyperus diffusus subsp. latifolius L.K.Dai | Cyperus diffusus subsp. macrostachyus Boeck. | Cyperus diffusus subsp. multispicatus S.M.Huang | Cyperus diffusus subsp. turgidulus Suringar | Cyperus diffusus subsp. umbrosus (Lindl. ex Nees) Kük. | Cyperus diffusus var. celebicus (Miq.) Kük. | Cyperus holophyllus Miq. ex DeVriese | Cyperus holophyllus subsp. celebicus Miq. | Cyperus laxus subsp. multispicatus (S.M.Huang) S.M.Huang,Diffused Flatsedge,Diffused Flatsedge | Dwarf Umbrella Grass,Chinese Taipei | Colombia,CO | TW,9,9,very_low,wfo-0000371726,Cyperus diffusus,https://www.worldfloraonline.org/taxon/wfo-0000371726,,,Andaman Is. | Assam | Bangladesh | Bismarck Archipelago | Borneo | Cambodia | China South-Central | China Southeast | East Himalaya | Hainan | India | Jawa | Laos | Malaya | Maluku | Myanmar | Nepal | New Gui,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A304313-1,urn:lsid:ipni.org:names:304313-1,
Delonix regia (Bojer) Raf.,EXACT,100,Delonix regia,Delonix regia,Delonix regia (Bojer ex Hook.) Raf.,2956176,Delonix regia subsp. flavida Stehle | Delonix regia subsp. genuina Stehle | Delonix regia var. flavida Stehlé | Delonix regia var. genuina Stehlé,Flamboyan,Flamboyan | Flamboyant Tree | Flanbwayan | Gold Mohar | July Tree | Krishnochura | Royal Poinciana,Australia | Colombia,AU | CO,10,10,low,wfo-0000166389,Delonix regia,https://www.worldfloraonline.org/taxon/wfo-0000166389,Africa Western Indian Ocean Madagascar | Africa | Western Indian Ocean | Madagascar,Ancient Rome | Madagascar | Cameroon,"Madagascar
Introduced into:
Andaman Is. | Angola | Assam | Bahamas | Bangladesh | Belize | Borneo | Burkina | Burundi | Cambodia | Cameroon | Caroline Is. | Cayman Is. | Chad | China South-Central | China Southeast | Christmas I.",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A491231-1,urn:lsid:ipni.org:names:491231-1,
Dendrocnide excelsa (Wedd.) Chew.,EXACT,100,Dendrocnide excelsa,Dendrocnide excelsa,Dendrocnide excelsa (Wedd.) Chew,4098881,,,,Australia,AU,50,50,medium,wfo-0000641019,Dendrocnide excelsa,https://www.worldfloraonline.org/taxon/wfo-0000641019,Australasia Australia New South Wales | Australasia | Australia | New South Wales | Queensland,France | Indonesia | Australia | New Zealand | Solomon Islands | Cuba | United States,New South Wales,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A851442-1,urn:lsid:ipni.org:names:851442-1,
Dichrostachys cinerea (L.) Wight. et Arn.,EXACT,100,Dichrostachys cinerea,Dichrostachys cinerea,Dichrostachys cinerea (L.) Wight & Arn.,2975891,Dichrostachys cinerea subsp. lugardae (N.E.Br.) Brenan & Brummitt | Dichrostachys cinerea subsp. paucijuga Miq. | Dichrostachys lugardae N.E.Br. | Dichrostachys platycarpa Welw.,Aroma,Aroma | Batrini/sari batrini | Kalahari-Weihnachtsbaum | acacia Saint Domingue | el marabu | marabou-thorn | marabu | mimosa clochette | sickle bush | sicklebush,Australia | Kenya | Timor-Leste,AU | KE | TL,8,8,very_low,wfo-0000176871,Dichrostachys cinerea,https://www.worldfloraonline.org/taxon/wfo-0000176871,"Africa East Tropical Africa Kenya | Africa | East Tropical Africa | Kenya | Tanzania | Uganda | Macaronesia Cape Verde | Macaronesia | Cape Verde | Northeast Tropical Africa Chad | Northeast Tropical Africa | Chad | Eritrea | Ethiopia | Somalia | Sudan | South Tropical Africa Angola | South Tropical Africa | Angola | Malawi | Mozambique | Zambia | Zimbabwe | Southern Africa Botswana | Southern Africa | Botswana | Cape Provinces | Caprivi Strip | Free State | KwaZulu-Natal | Namibia | Northern Provinces | Swaziland | West Tropical Africa Benin | West Tropical Africa | Benin | Burkina | Gambia, The | Ghana | Guinea | Guinea-Bissau | Ivory Coast | Liberia | Mali | Mauritania | Niger | Nigeria | Senegal | Sierra Leone | Togo | West-Central Tropical Africa Burundi | West-Central Tropical Africa | Burundi | Cameroon | Central African Republic | Congo | Gabon | Rwanda | Zaire | Asia-Temperate Arabian Peninsula Oman | Asia-Temperate | Arabian Peninsula | Oman | Saudi Arabia | Yemen | Asia-Tropical Indian Subcontinent India | Asia-Tropical | Indian Subcontinent | India | Sri Lanka | Indo-China Myanmar | Indo-China | Myanmar | Malesia Jawa | Malesia | Jawa | Lesser Sunda Is. | Sumatera | Australasia Australia Northern Territory | Australasia | Australia | Northern Territory",Ancient Rome | Ghana | Tanzania | Uganda | Indonesia | Spain | Portugal | Cape Verde | Russia | Eritrea | United Kingdom | Somalia | Sudan | United States | Malawi | Mozambique | Zambia | Zimbabwe | Botswana | Lesotho | Namibia | Eswatini | South Africa | Netherlands | Guinea | Guinea-Bissau | Ivory Coast | Liberia | Costa Rica | Mali | Niger | Nigeria | Senegal | Sierra Leone | Togo | Canada | Burundi | Cameroon | Central African Republic | United Arab Emirates | Angola | Republic of the Congo | Democratic Republic of the Congo | Gabon | Djibouti | Rwanda | Zaire | Bulgaria | India | Moldova | Sri Lanka | Myanmar | Singapore | Timor-Leste | Malaysia | Czech Republic | France | Australia | New Zealand | Solomon Islands | Cuba,Madagascar,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A978480-1,urn:lsid:ipni.org:names:978480-1,
Dioscorea alata L.,EXACT,100,Dioscorea alata,Dioscorea alata,Dioscorea alata L.,2754476,Dioscorea aculeata Wight | Dioscorea alata subsp. globosa (Roxb.) Prain | Dioscorea alata subsp. purpurea (Roxb.) A.Pouchet | Dioscorea alata subsp. tarri Prain & Burkill | Dioscorea alata subsp. vera Prain & Burkill | Dioscorea alata var. globosa (Roxb.) Prain | Dioscorea alata var. purpurea (Roxb.) A.Pouchet | Dioscorea alata var. tarri Prain & Burkill | Dioscorea alata var. vera Prain & Burkill | Dioscorea atropurpurea Roxb. | Dioscorea colocasiifolia Pax | Dioscorea eburina Lour. | Dioscorea eburnea Lour. | Dioscorea globosa Roxb. | Dioscorea javanica Queva | Dioscorea purpurea Roxb. | Dioscorea rubella Roxb. | Dioscorea sapinii De Wild. | Dioscorea sapinii DeWild. | Dioscorea vulgaris Miq.,Yams,"Chiazi | Greater Yams | Guyana arrowroot | Ovi tsabo, Ovi tsabo lahi | Water yam | Winged Yam | Yams | greater yam",Australia,AU,2,2,very_low,wfo-0000388864,Dioscorea alata,https://www.worldfloraonline.org/taxon/wfo-0000388864,Asia-Tropical Indian Subcontinent Assam | Asia-Tropical | Indian Subcontinent | Assam | Bangladesh | East Himalaya | India | Nepal | Indo-China Cambodia | Indo-China | Cambodia | Myanmar | Thailand | Vietnam | Malesia Borneo | Malesia | Borneo | Christmas I. | Jawa | Lesser Sunda Is. | Malaya | Philippines | Sulawesi | Sumatera | Papuasia Bismarck Archipelago | Papuasia | Bismarck Archipelago | New Guinea,Cameroon | Bangladesh | India | Moldova | Nepal | Cambodia | Myanmar | Thailand | Vietnam | Indonesia | Singapore | Timor-Leste | Malaysia | Canada | Czech Republic | Russia | Philippines | Netherlands | Papua New Guinea,Assam | Bangladesh | Bismarck Archipelago | Borneo | Cambodia | Christmas I. | East Himalaya | India | Jawa | Lesser Sunda Is. | Malaya | Myanmar | Nepal | New Guinea | Philippines | Sulawesi | Sumatera | Tha,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A317625-1,urn:lsid:ipni.org:names:317625-1,
Dioscorea oppositifolia L.,EXACT,100,Dioscorea oppositifolia,Dioscorea oppositifolia,Dioscorea oppositifolia L.,2754965,Dioscorea opposita Thunb. | Dioscorea oppositifolia var. dukhunensis Prain & Burkill | Dioscorea oppositifolia var. linnaei Prain & Burkill | Dioscorea oppositifolia var. thwaitesii Prain & Burkill,Chinese yam,Chinese yam | cinnamon vine | ma,,,0,0,none,wfo-0000393046,Dioscorea oppositifolia,https://www.worldfloraonline.org/taxon/wfo-0000393046,Asia-Tropical Indian Subcontinent Assam | Bangladesh | East Himalaya | India | Sri Lanka | Indo-China Myanmar | Dioscorea opposita Thunb. | Dioscorea oppositifolia var. dukhunensis Prain & Burkill | Dioscorea oppositifolia var. linnaei Prain & Burkill | Dioscorea oppositifolia var. thwaitesii Prain & Burkill | Asia-Tropical | Indian Subcontinent | Assam | Indo-China | Myanmar | Synonyms | Dioscorea opposita | Thunb. | Dioscorea oppositifolia var. dukhunensis | Prain & Burkill | Dioscorea oppositifolia var. linnaei | Dioscorea oppositifolia var. thwaitesii,Bangladesh | India | Moldova | Sri Lanka | Cameroon | Myanmar,Assam | Bangladesh | East Himalaya | India | Myanmar,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A318348-1,urn:lsid:ipni.org:names:318348-1,
Dioscorea polystachya Turcz. (Dioscorea batatas),HIGHERRANK,100,Dioscorea polystachya,Dioscorea polystachya,Dioscorea polystachya Turcz.,2754732,Dioscorea batatas Decne. | Dioscorea batatas f. clavata Makino | Dioscorea batatas f. daikok Makino | Dioscorea batatas f. flabellata Makino | Dioscorea batatas f. rakuda Makino | Dioscorea batatas f. tsukune Makino | Dioscorea batatas subsp. clavata Makino | Dioscorea batatas subsp. daikok Makino | Dioscorea batatas subsp. flabellata Makino | Dioscorea batatas subsp. rakuda Makino | Dioscorea batatas subsp. tsukune Makino | Dioscorea cayenensis var. pseudobatatas Hauman | Dioscorea cayennensis subsp. pseudobatatas Hauman | Dioscorea decaisneana Carrière | Dioscorea doryphora Hance | Dioscorea polystachya f. elongata Nakai | Dioscorea polystachya f. tsukune Nakai | Dioscorea potaninii Prain & Burkill | Dioscorea pseudobatatas (Hauman) Herter | Dioscorea rosthornii Diels,Chinese Yam,Chinese Yam | Chinese-potato | Cinnamon-vine | Yam,Chinese Taipei,TW,12,12,low,wfo-0000393961,Dioscorea polystachya,https://www.worldfloraonline.org/taxon/wfo-0000393961,Asia-Temperate China China North-Central | Asia-Temperate | China | China North-Central | China South-Central | China Southeast | Inner Mongolia | Eastern Asia Korea | Eastern Asia | Korea | Taiwan | Russian Far East Kuril Is. | Russian Far East | Kuril Is. | Primorye,United States | People's Republic of China | Joseon | Taiwan | Russia,"China North-Central | China South-Central | China Southeast | Inner Mongolia | Korea | Kuril Is. | Primorye | Taiwan
Introduced into:
Alabama | Arkansas | Connecticut | District of Columbia | Florida | Georgia | Illinois | Indiana | Japan",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A318443-1,urn:lsid:ipni.org:names:318443-1,
Dischidia bengalensis Colebr.,EXACT,100,Dischidia bengalensis,Dischidia bengalensis,Dischidia bengalensis Colebr.,3571031,Dischidia bengalensis var. cuneifolia (Wall.) Kuntze | Dischidia bengalensis var. spathulata (Blume) Kuntze | Dischidia cuneifolia Wall. | Dischidia loeseneriana Schltr. | Dischidia pseudobenghalensis Costantin | Dischidia spathulata Blume,,,,,0,0,none,wfo-0000651616,Dischidia bengalensis,https://www.worldfloraonline.org/taxon/wfo-0000651616,"Asia-Tropical Indian Subcontinent Assam | Bangladesh | East Himalaya | Nepal | Indo-China Andaman Is. | Myanmar | Nicobar Is. | Thailand | Vietnam | Malesia Borneo | Jawa | Malaya | Sumatera | Dischidia bengalensis var. cuneifolia (Wall.) Kuntze | Dischidia bengalensis var. spathulata (Blume) Kuntze | Dischidia cuneifolia Wall. | Dischidia loeseneriana Schltr. | Dischidia pseudobenghalensis Costantin | Dischidia spatulata Blume | Asia-Tropical | Indian Subcontinent | Assam | Indo-China | Andaman Is. | Malesia | Borneo | Synonyms | Dischidia bengalensis var. cuneifolia | (Wall.) Kuntze | Dischidia bengalensis var. spathulata | (Blume) Kuntze | Dischidia cuneifolia | Wall. | Dischidia loeseneriana | Schltr. | Dischidia pseudobenghalensis | Costantin | Dischidia spatulata | Blume | Nationally Preferred Names | Name | Language | Country | औले हड्चुर, थिर्जो (Aule hadchur, Thirjo)",Bangladesh | Nepal | Myanmar | Thailand | Vietnam | Czech Republic | Indonesia | Russia | Cameroon | Singapore | Timor-Leste | Malaysia | Canada | Italy | Germany | Zambia | France,Assam | Bangladesh | Borneo | East Himalaya | Jawa | Malaya | Myanmar | Nepal | Nicobar Is. | Sumatera | Thailand,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A96902-1,urn:lsid:ipni.org:names:96902-1,
Dischidia platyphylla Schltr.,EXACT,100,Dischidia platyphylla,Dischidia platyphylla,Dischidia platyphylla Schltr.,3582027,,,,,,0,0,none,wfo-0000651732,Dischidia platyphylla,https://www.worldfloraonline.org/taxon/wfo-0000651732,Asia-Tropical Malesia Philippines | Asia-Tropical | Malesia | Philippines,Indonesia | Singapore | Timor-Leste | Malaysia | Myanmar | Philippines,"Philippines
Classification
Kingdom
Plantae
Phylum
Streptophyta
Class
Equisetopsida
Subclass
Magnoliidae
Order
Gentianales
View Order Tree
opens in a new tab
Family
Apocynaceae
View Family Tree
opens in a new tab
Genus
Dischidia
View in Tree of Life
opens in a new tab
Species
Dischidia platyphylla
Kew's Tree of Life Explorer
Discover the flowering plant tree of life and the genomic data used to build it.
View the Tree of Life
Publications
Sort
Alphabetically
Newest first
Oldest first
POWO follows these authorities in accepting this name:
Govaerts | R. (2000). World Checklist of Seed Plants Data",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A97013-1,urn:lsid:ipni.org:names:97013-1,
Dischidia subulata Warb. Dischidia cordifolia,HIGHERRANK,100,Dischidia subulata,Dischidia subulata,Dischidia subulata Warb.,7312659,,,,,,0,0,none,wfo-0000651779,Dischidia subulata,https://www.worldfloraonline.org/taxon/wfo-0000651779,Asia-Tropical Malesia Malaya | Sumatera | Dischidia subulata subsp. angustata Rintz | Dischidia subulata subsp. subulata | Dischidia cordifolia King & Gamble | Dischidia ericiflora Ridl. | Dischidia monticola King & Gamble | Asia-Tropical | Malesia | Malaya | Included Subspecies | Dischidia subulata subsp. angustata | Rintz | Synonyms | Dischidia cordifolia | King & Gamble | Dischidia ericiflora | Ridl. | Dischidia monticola,Indonesia | Singapore | Timor-Leste | Malaysia | Myanmar | Russia,"Malaya | Sumatera
Accepted Infraspecifics
Includes 2 Accepted Infraspecifics
KB
Dischidia subulata
subsp.
angustata
Rintz
Dischidia subulata
subsp.
subulata
Classification
Kingdom
Plantae
Phylum
Streptophyta
Class
Equisetopsida
Subclass
Magnoliidae
Order
Gentianales
View Order Tree
opens in a new tab
Family
Apocynaceae
View Family Tree
opens in a new tab
Genus
Dischidia
View in Tree of Life
opens in a new tab
Species
Dischidia subulata
Kew's Tree of Life Explorer
Discover the flowering plant tree of life and the genomic data used to build it.
View the Tree of Life
Publi",https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A97057-1,urn:lsid:ipni.org:names:97057-1,
Dischidia vidalii Becc. ,EXACT,100,Dischidia vidalii,Dischidia vidalii,Dischidia vidalii Becc.,8017070,Dischidia pectenoides H.Pearson,,,,,0,0,none,wfo-0000651795,Dischidia vidalii,https://www.worldfloraonline.org/taxon/wfo-0000651795,Asia-Tropical Malesia Philippines | Dischidia pectenoides H.Pearsen | Asia-Tropical | Malesia | Philippines | Synonyms | Dischidia pectenoides | H.Pearsen,Indonesia | Singapore | Timor-Leste | Malaysia | Myanmar | Philippines,Philippines,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A60474364-2,urn:lsid:ipni.org:names:60474364-2,
