input_name,gbif_matchType,gbif_confidence,gbif_matched_scientificName,gbif_matched_canonicalName,gbif_matched_usageKey,gbif_accepted_usageKey,gbif_accepted_taxonomicStatus,gbif_accepted_hops,gbif_canonicalName,gbif_genus_species,gbif_scientificName,gbif_synonyms,gbif_synonym_count,gbif_synonyms_same_species,gbif_synonyms_same_species_count,gbif_synonyms_same_genus,gbif_synonyms_same_genus_count,gbif_english_name,gbif_english_names,gbif_english_name_count
Colocasia esculenta (L.) Schott.,EXACT,100,Colocasia esculenta (L.) Schott,Colocasia esculenta,5330776,5330776,ACCEPTED,0,Colocasia esculenta,Colocasia esculenta,Colocasia esculenta (L.) Schott,Colocasia esculenta (L.) Schott | Alocasia dussii Dammer | Alocasia illustris W.Bull | Aron colocasium (L.) St.-Lag. | Arum chinense L. | Arum colocasia L. | Arum colocasioides Desf. | Arum esculentum L. | Arum lividum Salisb. | Arum nymphaeifolium (Vent.) Roxb. | Arum peltatum Lam. | Caladium acre R.Br. | Caladium antiquorum (Schott) André | Caladium atrovirens André | Caladium colocasia Schott ex Wight | Caladium colocasioides (Desf.) Brongn. | Caladium divaricatum André | Caladium esculentum (L.) Vent. | Caladium esculentum subsp. bataviensis Hovey | Caladium glycyrrhizum Fraser | Caladium nigrescens André | Caladium nymphaeaefolium Vent. | Caladium nymphaeifolium Vent. | Caladium parimaense André | Caladium violaceum Desf. | Caladium violaceum Engl. | Caladium violaceum var. alboviolaceum André | Calla gaby Blanco | Cladium colocasia (L.) W.Wight | Colocasia acris (R.Br.) Schott | Colocasia aegyptiaca Samp. | Colocasia antiquorum Schott | Colocasia antiquorum f. acris (R.Br.) Schott | Colocasia antiquorum f. acuatica Makino | Colocasia antiquorum f. eguimo Makino | Colocasia antiquorum f. esculenta (L.) Schott | Colocasia antiquorum f. euchlora (K.Koch & Linden) Schott | Colocasia antiquorum f. nymphaeifolia (Vent.) Schott | Colocasia antiquorum f. oyasetage Makino | Colocasia antiquorum f. purpurea Makino | Colocasia antiquorum f. typica Engl. | Colocasia antiquorum f. yamamotoi Makino | Colocasia antiquorum subsp. acris (R.Br.) Schott | Colocasia antiquorum subsp. esculenta (L.) Haudricourt | Colocasia antiquorum subsp. esculenta (L.) Schott | Colocasia antiquorum subsp. euchlora (K.Koch & Linden) Schott | Colocasia antiquorum var. acris (R.Br.) Schott | Colocasia antiquorum var. aquatilis (Hassk.) Engl. & K.Krause | Colocasia antiquorum var. esculenta (L.) Schott | Colocasia antiquorum var. esculenta (L.) Schott ex Seem. | Colocasia antiquorum var. euchlora (K.Koch & Linden) Schott | Colocasia antiquorum var. euchlora (K.Koch & Sello) Schott ex Engl. | Colocasia antiquorum var. globulifera Engl. & K.Krause | Colocasia antiquorum var. illustris (W.Bull) Engl. | Colocasia antiquorum var. multifolia Makino | Colocasia antiquorum var. nymphaeifolia (Vent.) Engl. | Colocasia antiquorum var. patens Makino | Colocasia antiquorum var. rosea Makino | Colocasia antiquorum var. rupicola Haines | Colocasia antiquorum var. stolonifera Haines | Colocasia antiquorum var. typica Engl. | Colocasia colocasia (L.) Huth | Colocasia esculenta f. ebiimo Makino | Colocasia esculenta f. rotundifolia Makino | Colocasia esculenta subsp. acris (R.Br.) A.F.Hill | Colocasia esculenta subsp. antiquorum (Schott) C.E.Hubb. & Rehder | Colocasia esculenta subsp. euchlora (K.Koch & Linden) A.F.Hill | Colocasia esculenta var. acris (R.Br.) A.F.Hill | Colocasia esculenta var. antiquorum (Schott) F.T.Hubb. & Rehder | Colocasia esculenta var. aquatilis Hassk. | Colocasia esculenta var. esculenta | Colocasia esculenta var. euchlora (K.Koch & Linden) A.F.Hill | Colocasia esculenta var. globulifera (Engl. & K.Krause) R.A.Young | Colocasia esculenta var. illustris (W.Bull) A.F.Hill | Colocasia esculenta var. nymphaeifolia (Kunth) A.F.Hill | Colocasia esculenta var. rupicola (Haines) H.B.Naithani | Colocasia esculenta var. stolonifera (Haines) H.B.Naithani | Colocasia esculenta var. typica A.F.Hill | Colocasia euchlora K.Koch & Linden | Colocasia formosana Hayata | Colocasia gracilis Engl. | Colocasia himalensis Royle | Colocasia konishii Hayata | Colocasia neocaledonica Van Houtte | Colocasia neocaledonica VanHoutte | Colocasia nymphaeifolia (Vent.) Kunth | Colocasia peltata (Lam.) Samp. | Colocasia tonoimo Nakai | Colocasia vera Hassk. | Colocasia violacea (Desf.) Anon. | Colocasia vulgaris Raf. | Leucocasia esculenta (L.) Nakai,92,Colocasia esculenta (L.) Schott | Colocasia esculenta f. ebiimo Makino | Colocasia esculenta f. rotundifolia Makino | Colocasia esculenta subsp. acris (R.Br.) A.F.Hill | Colocasia esculenta subsp. antiquorum (Schott) C.E.Hubb. & Rehder | Colocasia esculenta subsp. euchlora (K.Koch & Linden) A.F.Hill | Colocasia esculenta var. acris (R.Br.) A.F.Hill | Colocasia esculenta var. antiquorum (Schott) F.T.Hubb. & Rehder | Colocasia esculenta var. aquatilis Hassk. | Colocasia esculenta var. esculenta | Colocasia esculenta var. euchlora (K.Koch & Linden) A.F.Hill | Colocasia esculenta var. globulifera (Engl. & K.Krause) R.A.Young | Colocasia esculenta var. illustris (W.Bull) A.F.Hill | Colocasia esculenta var. nymphaeifolia (Kunth) A.F.Hill | Colocasia esculenta var. rupicola (Haines) H.B.Naithani | Colocasia esculenta var. stolonifera (Haines) H.B.Naithani | Colocasia esculenta var. typica A.F.Hill | Leucocasia esculenta (L.) Nakai,18,Colocasia esculenta (L.) Schott | Colocasia acris (R.Br.) Schott | Colocasia aegyptiaca Samp. | Colocasia antiquorum Schott | Colocasia antiquorum f. acris (R.Br.) Schott | Colocasia antiquorum f. acuatica Makino | Colocasia antiquorum f. eguimo Makino | Colocasia antiquorum f. esculenta (L.) Schott | Colocasia antiquorum f. euchlora (K.Koch & Linden) Schott | Colocasia antiquorum f. nymphaeifolia (Vent.) Schott | Colocasia antiquorum f. oyasetage Makino | Colocasia antiquorum f. purpurea Makino | Colocasia antiquorum f. typica Engl. | Colocasia antiquorum f. yamamotoi Makino | Colocasia antiquorum subsp. acris (R.Br.) Schott | Colocasia antiquorum subsp. esculenta (L.) Haudricourt | Colocasia antiquorum subsp. esculenta (L.) Schott | Colocasia antiquorum subsp. euchlora (K.Koch & Linden) Schott | Colocasia antiquorum var. acris (R.Br.) Schott | Colocasia antiquorum var. aquatilis (Hassk.) Engl. & K.Krause | Colocasia antiquorum var. esculenta (L.) Schott | Colocasia antiquorum var. esculenta (L.) Schott ex Seem. | Colocasia antiquorum var. euchlora (K.Koch & Linden) Schott | Colocasia antiquorum var. euchlora (K.Koch & Sello) Schott ex Engl. | Colocasia antiquorum var. globulifera Engl. & K.Krause | Colocasia antiquorum var. illustris (W.Bull) Engl. | Colocasia antiquorum var. multifolia Makino | Colocasia antiquorum var. nymphaeifolia (Vent.) Engl. | Colocasia antiquorum var. patens Makino | Colocasia antiquorum var. rosea Makino | Colocasia antiquorum var. rupicola Haines | Colocasia antiquorum var. stolonifera Haines | Colocasia antiquorum var. typica Engl. | Colocasia colocasia (L.) Huth | Colocasia esculenta f. ebiimo Makino | Colocasia esculenta f. rotundifolia Makino | Colocasia esculenta subsp. acris (R.Br.) A.F.Hill | Colocasia esculenta subsp. antiquorum (Schott) C.E.Hubb. & Rehder | Colocasia esculenta subsp. euchlora (K.Koch & Linden) A.F.Hill | Colocasia esculenta var. acris (R.Br.) A.F.Hill | Colocasia esculenta var. antiquorum (Schott) F.T.Hubb. & Rehder | Colocasia esculenta var. aquatilis Hassk. | Colocasia esculenta var. esculenta | Colocasia esculenta var. euchlora (K.Koch & Linden) A.F.Hill | Colocasia esculenta var. globulifera (Engl. & K.Krause) R.A.Young | Colocasia esculenta var. illustris (W.Bull) A.F.Hill | Colocasia esculenta var. nymphaeifolia (Kunth) A.F.Hill | Colocasia esculenta var. rupicola (Haines) H.B.Naithani | Colocasia esculenta var. stolonifera (Haines) H.B.Naithani | Colocasia esculenta var. typica A.F.Hill | Colocasia euchlora K.Koch & Linden | Colocasia formosana Hayata | Colocasia gracilis Engl. | Colocasia himalensis Royle | Colocasia konishii Hayata | Colocasia neocaledonica Van Houtte | Colocasia neocaledonica VanHoutte | Colocasia nymphaeifolia (Vent.) Kunth | Colocasia peltata (Lam.) Samp. | Colocasia tonoimo Nakai | Colocasia vera Hassk. | Colocasia violacea (Desf.) Anon. | Colocasia vulgaris Raf.,63,Taro,"Bore | Coco yam | Katchu | Majimbi | Malanga | Taro | Taro, Cocoyam, Dasheen, Wild taro, Eddo, Elephant's ear | Wild Taro",8
Colvillea racemosa Bojer ex Hook.,EXACT,100,Colvillea racemosa Bojer ex Hook.,Colvillea racemosa,10704829,10704829,ACCEPTED,0,Colvillea racemosa,Colvillea racemosa,Colvillea racemosa Bojer ex Hook.,Colvillea racemosa Bojer ex Hook.,1,Colvillea racemosa Bojer ex Hook.,1,Colvillea racemosa Bojer ex Hook.,1,,,0
Cordia myxa L. non Forssk.,EXACT,100,Cordia myxa L.,Cordia myxa,5341290,5341290,ACCEPTED,0,Cordia myxa,Cordia myxa,Cordia myxa L.,Cordia myxa L. | Argyreia arborea Lour. | Bourreria glabra (Roth) G.Don | Cordia domestica Roth | Cordia domestica var. evolutior (C.B.Clarke) M.R.Almeida | Cordia evolutior (C.B.Clarke) Gamble | Cordia fulvosa Wight | Cordia fulvosa var. evolutior C.B.Clarke | Cordia latifolia Wall. | Cordia latifolia Wall. ex G.Don | Cordia myxa var. domestica (Roth) C.B.Clarke | Cordia officinalis Lam. | Cordia paniculata Roth | Cordia petta-pelioporet B.Heyne | Cordia petta-pelioporet B.Heyne ex Roth | Cordia scabrifolia Benth. | Cordia scabrifolia Benth. ex Griseb. | Cordia sebestena Forssk. | Ehretia glabra Roth | Ehretia glabra Roth ex Roem. & Schult. | Gerascanthus fulvosus (Wight) Borhidi | Gerascanthus myxus (L.) Borhidi | Lithocardium fulvosum (Wight) Kuntze | Lithocardium myxa (L.) Kuntze | Quarena indica (Lam.) Raf. | Sebestena myxa (L.) J.Presl | Sebestena officinalis Gaertn. | Vitex gomphophylla Baker | Vitex gomphyphylla Baker,29,Cordia myxa L. | Cordia myxa var. domestica (Roth) C.B.Clarke | Lithocardium myxa (L.) Kuntze | Sebestena myxa (L.) J.Presl,4,Cordia myxa L. | Cordia domestica Roth | Cordia domestica var. evolutior (C.B.Clarke) M.R.Almeida | Cordia evolutior (C.B.Clarke) Gamble | Cordia fulvosa Wight | Cordia fulvosa var. evolutior C.B.Clarke | Cordia latifolia Wall. | Cordia latifolia Wall. ex G.Don | Cordia myxa var. domestica (Roth) C.B.Clarke | Cordia officinalis Lam. | Cordia paniculata Roth | Cordia petta-pelioporet B.Heyne | Cordia petta-pelioporet B.Heyne ex Roth | Cordia scabrifolia Benth. | Cordia scabrifolia Benth. ex Griseb. | Cordia sebestena Forssk.,16,Lasoda,Assyrian Plum | Assyrian-plum | Clammy cherry | Indian cherry | Indian-cherry | Lasoda | Mrovu | Salelo | Sapistan plum | Sebesten,10
Couroupita guianensis Auhl.,EXACT,87,Couroupita guianensis Aubl.,Couroupita guianensis,3082562,3082562,ACCEPTED,0,Couroupita guianensis,Couroupita guianensis,Couroupita guianensis Aubl.,Couroupita guianensis Aubl. | Couratari pedicellaris Rizzini | Couroupita acreensis R.Knuth | Couroupita antillana Miers | Couroupita froesii R.Knuth | Couroupita guianensis var. surinamensis (Mart. ex Berg) Eyma | Couroupita idolica Dwyer | Couroupita membranacea Miers | Couroupita peruviana O.Berg | Couroupita saintcroixiana R.Knuth | Couroupita surinamensis Mart. | Couroupita surinamensis Mart. ex Berg | Couroupita venezuelensis R.Knuth | Lecythis bracteata Willd. | Pekea couroupita Juss. | Pekea couroupita Juss. ex DC.,16,Couroupita guianensis Aubl. | Couroupita guianensis var. surinamensis (Mart. ex Berg) Eyma,2,Couroupita guianensis Aubl. | Couroupita acreensis R.Knuth | Couroupita antillana Miers | Couroupita froesii R.Knuth | Couroupita guianensis var. surinamensis (Mart. ex Berg) Eyma | Couroupita idolica Dwyer | Couroupita membranacea Miers | Couroupita peruviana O.Berg | Couroupita saintcroixiana R.Knuth | Couroupita surinamensis Mart. | Couroupita surinamensis Mart. ex Berg | Couroupita venezuelensis R.Knuth,12,Cannonball Tree,Cannonball Tree,1
Ctenanthe amabilis (E.Morren) H.A.Kenn. & Nicolson,EXACT,100,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson,Ctenanthe amabilis,2762431,2762431,ACCEPTED,0,Ctenanthe amabilis,Ctenanthe amabilis,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson | Stromanthe amabilis É.Morren,2,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson | Stromanthe amabilis É.Morren,2,Ctenanthe amabilis (É.Morren) H.Kenn. & Nicolson,1,,,0
Cubanola domingensis (Britton) Aiella,EXACT,100,Cubanola domingensis (Britton) Aiello,Cubanola domingensis,2893015,2893015,ACCEPTED,0,Cubanola domingensis,Cubanola domingensis,Cubanola domingensis (Britton) Aiello,Cubanola domingensis (Britton) Aiello | Portlandia domingensis Britton,2,Cubanola domingensis (Britton) Aiello | Portlandia domingensis Britton,2,Cubanola domingensis (Britton) Aiello,1,,,0
Curculigo capitulata (Lour.) Kantze.,EXACT,88,Curculigo capitulata (Lour.) Kuntze,Curculigo capitulata,2852556,2852556,ACCEPTED,0,Curculigo capitulata,Curculigo capitulata,Curculigo capitulata (Lour.) Kuntze,Curculigo capitulata (Lour.) Kuntze | Curculigo foliis-variegatis Pynaert | Curculigo fuziwarae Yamam. | Curculigo glabra Merr. | Curculigo recurvata Dryand. | Curculigo recurvata W.T.Aiton | Curculigo recurvata var. variegatea W.Bull | Curculigo strobiliformis D.Fang & D.H.Qin | Curculigo sumatrana Roxb. | Leucoium capitulatum | Leucojum capitulatum Lour. | Molineria capitulata (Lour.) Herb. | Molineria hortensis Britton | Molineria plicata Colla | Molineria recurvata (W.T.Aiton) Herb. | Molineria sulcata Kurz | Molineria sumatrana (Roxb.) Herb. | Moliniera capitulata | Tupistra esquirolii H.Lév. & Vaniot | Veratrum mairei H.Lév.,20,Curculigo capitulata (Lour.) Kuntze | Molineria capitulata (Lour.) Herb. | Moliniera capitulata,3,Curculigo capitulata (Lour.) Kuntze | Curculigo foliis-variegatis Pynaert | Curculigo fuziwarae Yamam. | Curculigo glabra Merr. | Curculigo recurvata Dryand. | Curculigo recurvata W.T.Aiton | Curculigo recurvata var. variegatea W.Bull | Curculigo strobiliformis D.Fang & D.H.Qin | Curculigo sumatrana Roxb.,9,palm-grass,palm-grass,1
Cyanastrum cordifolium Oliv.,EXACT,100,Cyanastrum cordifolium Oliv.,Cyanastrum cordifolium,2860900,2860900,ACCEPTED,0,Cyanastrum cordifolium,Cyanastrum cordifolium,Cyanastrum cordifolium Oliv.,Cyanastrum cordifolium Oliv. | Cyanastrum cordifolium var. compactum (Oliv.) R.T.Clausen | Schoenlandia gabonensis Cornu,3,Cyanastrum cordifolium Oliv. | Cyanastrum cordifolium var. compactum (Oliv.) R.T.Clausen,2,Cyanastrum cordifolium Oliv. | Cyanastrum cordifolium var. compactum (Oliv.) R.T.Clausen,2,,,0
Cyperus diffusus Vahl.,EXACT,100,Cyperus diffusus Vahl,Cyperus diffusus,2713932,2713932,ACCEPTED,0,Cyperus diffusus,Cyperus diffusus,Cyperus diffusus Vahl,Cyperus diffusus Vahl | Cyperus bancanus subsp. brevibracteatus E.G.Camus | Cyperus diffusus subsp. brevibracteatus (E.G.Camus) Kük. | Cyperus diffusus subsp. celebicus (Miq.) Kük. | Cyperus diffusus subsp. latifolius L.K.Dai | Cyperus diffusus subsp. macrostachyus Boeck. | Cyperus diffusus subsp. multispicatus S.M.Huang | Cyperus diffusus subsp. turgidulus Suringar | Cyperus diffusus subsp. umbrosus (Lindl. ex Nees) Kük. | Cyperus diffusus var. celebicus (Miq.) Kük. | Cyperus holophyllus Miq. ex DeVriese | Cyperus holophyllus subsp. celebicus Miq. | Cyperus laxus subsp. multispicatus (S.M.Huang) S.M.Huang | Eucyperus diffusus (Vahl) Rikli,14,Cyperus diffusus Vahl | Cyperus diffusus subsp. brevibracteatus (E.G.Camus) Kük. | Cyperus diffusus subsp. celebicus (Miq.) Kük. | Cyperus diffusus subsp. latifolius L.K.Dai | Cyperus diffusus subsp. macrostachyus Boeck. | Cyperus diffusus subsp. multispicatus S.M.Huang | Cyperus diffusus subsp. turgidulus Suringar | Cyperus diffusus subsp. umbrosus (Lindl. ex Nees) Kük. | Cyperus diffusus var. celebicus (Miq.) Kük. | Eucyperus diffusus (Vahl) Rikli,10,Cyperus diffusus Vahl | Cyperus bancanus subsp. brevibracteatus E.G.Camus | Cyperus diffusus subsp. brevibracteatus (E.G.Camus) Kük. | Cyperus diffusus subsp. celebicus (Miq.) Kük. | Cyperus diffusus subsp. latifolius L.K.Dai | Cyperus diffusus subsp. macrostachyus Boeck. | Cyperus diffusus subsp. multispicatus S.M.Huang | Cyperus diffusus subsp. turgidulus Suringar | Cyperus diffusus subsp. umbrosus (Lindl. ex Nees) Kük. | Cyperus diffusus var. celebicus (Miq.) Kük. | Cyperus holophyllus Miq. ex DeVriese | Cyperus holophyllus subsp. celebicus Miq. | Cyperus laxus subsp. multispicatus (S.M.Huang) S.M.Huang,13,Diffused Flatsedge,Diffused Flatsedge | Dwarf Umbrella Grass,2
Delonix regia (Bojer) Raf.,EXACT,100,Delonix regia (Bojer ex Hook.) Raf.,Delonix regia,2956176,2956176,ACCEPTED,0,Delonix regia,Delonix regia,Delonix regia (Bojer ex Hook.) Raf.,Delonix regia (Bojer ex Hook.) Raf. | Caesalpinia regia (Bojer ex Hook.) D.Dietr. | Delonix regia subsp. flavida Stehle | Delonix regia subsp. genuina Stehle | Delonix regia var. flavida Stehlé | Delonix regia var. genuina Stehlé | Poinciana regia Bojer | Poinciana regia Bojer ex Hook.,8,Delonix regia (Bojer ex Hook.) Raf. | Caesalpinia regia (Bojer ex Hook.) D.Dietr. | Delonix regia subsp. flavida Stehle | Delonix regia subsp. genuina Stehle | Delonix regia var. flavida Stehlé | Delonix regia var. genuina Stehlé | Poinciana regia Bojer | Poinciana regia Bojer ex Hook.,8,Delonix regia (Bojer ex Hook.) Raf. | Delonix regia subsp. flavida Stehle | Delonix regia subsp. genuina Stehle | Delonix regia var. flavida Stehlé | Delonix regia var. genuina Stehlé,5,Flamboyan,Flamboyan | Flamboyant Tree | Flanbwayan | Gold Mohar | July Tree | Krishnochura | Royal Poinciana,7
Dendrocnide excelsa (Wedd.) Chew.,EXACT,100,Dendrocnide excelsa (Wedd.) Chew,Dendrocnide excelsa,4098881,4098881,ACCEPTED,0,Dendrocnide excelsa,Dendrocnide excelsa,Dendrocnide excelsa (Wedd.) Chew,Dendrocnide excelsa (Wedd.) Chew | Laportea gigas Wedd. | Urera excelsa Wedd. | Urera rotundifolia Wedd. | Urtica gigas A.Cunn. | Urtica gigas A.Cunn. ex Heward | Urtica gigas A.Cunn. ex Wedd. | Urticastrum gigas (Wedd.) Kuntze,8,Dendrocnide excelsa (Wedd.) Chew | Urera excelsa Wedd.,2,Dendrocnide excelsa (Wedd.) Chew,1,,,0
Dichrostachys cinerea (L.) Wight. et Arn.,EXACT,100,Dichrostachys cinerea (L.) Wight & Arn.,Dichrostachys cinerea,2975891,2975891,ACCEPTED,0,Dichrostachys cinerea,Dichrostachys cinerea,Dichrostachys cinerea (L.) Wight & Arn.,Dichrostachys cinerea (L.) Wight & Arn. | Acacia cinerea (L.) Spreng. | Cailliea cinerea (L.) J.F.Macbr. | Cailliea cinerea Roberty | Desmanthus cinereus (L.) Willd. | Dichrostachys cinerea subsp. lugardae (N.E.Br.) Brenan & Brummitt | Dichrostachys cinerea subsp. paucijuga Miq. | Dichrostachys lugardae N.E.Br. | Dichrostachys platycarpa Welw. | Neptunia cinerea (L.) F.Muell.,10,Dichrostachys cinerea (L.) Wight & Arn. | Acacia cinerea (L.) Spreng. | Cailliea cinerea (L.) J.F.Macbr. | Cailliea cinerea Roberty | Dichrostachys cinerea subsp. lugardae (N.E.Br.) Brenan & Brummitt | Dichrostachys cinerea subsp. paucijuga Miq. | Neptunia cinerea (L.) F.Muell.,7,Dichrostachys cinerea (L.) Wight & Arn. | Dichrostachys cinerea subsp. lugardae (N.E.Br.) Brenan & Brummitt | Dichrostachys cinerea subsp. paucijuga Miq. | Dichrostachys lugardae N.E.Br. | Dichrostachys platycarpa Welw.,5,Aroma,Aroma | Batrini/sari batrini | Kalahari-Weihnachtsbaum | acacia Saint Domingue | el marabu | marabou-thorn | marabu | mimosa clochette | sickle bush | sicklebush,10
Dioscorea alata L.,EXACT,100,Dioscorea alata L.,Dioscorea alata,2754476,2754476,ACCEPTED,0,Dioscorea alata,Dioscorea alata,Dioscorea alata L.,"Dioscorea alata L. | Dioscorea aculeata Wight | Dioscorea alata subsp. globosa (Roxb.) Prain | Dioscorea alata subsp. purpurea (Roxb.) A.Pouchet | Dioscorea alata subsp. tarri Prain & Burkill | Dioscorea alata subsp. vera Prain & Burkill | Dioscorea alata var. globosa (Roxb.) Prain | Dioscorea alata var. purpurea (Roxb.) A.Pouchet | Dioscorea alata var. tarri Prain & Burkill | Dioscorea alata var. vera Prain & Burkill | Dioscorea atropurpurea Roxb. | Dioscorea colocasiifolia Pax | Dioscorea eburina Lour. | Dioscorea eburnea Lour. | Dioscorea globosa Roxb. | Dioscorea javanica Queva | Dioscorea purpurea Roxb. | Dioscorea rubella Roxb. | Dioscorea sapinii De Wild. | Dioscorea sapinii DeWild. | Dioscorea vulgaris Miq. | Elephantodon eburnea (Lour.) Salisb. | Polynome alata (L.) Salisb. | Rajania flexuosa Bello, 1883",24,Dioscorea alata L. | Dioscorea alata subsp. globosa (Roxb.) Prain | Dioscorea alata subsp. purpurea (Roxb.) A.Pouchet | Dioscorea alata subsp. tarri Prain & Burkill | Dioscorea alata subsp. vera Prain & Burkill | Dioscorea alata var. globosa (Roxb.) Prain | Dioscorea alata var. purpurea (Roxb.) A.Pouchet | Dioscorea alata var. tarri Prain & Burkill | Dioscorea alata var. vera Prain & Burkill | Polynome alata (L.) Salisb.,10,Dioscorea alata L. | Dioscorea aculeata Wight | Dioscorea alata subsp. globosa (Roxb.) Prain | Dioscorea alata subsp. purpurea (Roxb.) A.Pouchet | Dioscorea alata subsp. tarri Prain & Burkill | Dioscorea alata subsp. vera Prain & Burkill | Dioscorea alata var. globosa (Roxb.) Prain | Dioscorea alata var. purpurea (Roxb.) A.Pouchet | Dioscorea alata var. tarri Prain & Burkill | Dioscorea alata var. vera Prain & Burkill | Dioscorea atropurpurea Roxb. | Dioscorea colocasiifolia Pax | Dioscorea eburina Lour. | Dioscorea eburnea Lour. | Dioscorea globosa Roxb. | Dioscorea javanica Queva | Dioscorea purpurea Roxb. | Dioscorea rubella Roxb. | Dioscorea sapinii De Wild. | Dioscorea sapinii DeWild. | Dioscorea vulgaris Miq.,21,Yams,"Chiazi | Greater Yams | Guyana arrowroot | Ovi tsabo, Ovi tsabo lahi | Water yam | Winged Yam | Yams | greater yam",8
Dioscorea oppositifolia L.,EXACT,100,Dioscorea oppositifolia L.,Dioscorea oppositifolia,2754965,2754965,ACCEPTED,0,Dioscorea oppositifolia,Dioscorea oppositifolia,Dioscorea oppositifolia L.,Dioscorea oppositifolia L. | Dioscorea opposita Thunb. | Dioscorea oppositifolia var. dukhunensis Prain & Burkill | Dioscorea oppositifolia var. linnaei Prain & Burkill | Dioscorea oppositifolia var. thwaitesii Prain & Burkill,5,Dioscorea oppositifolia L. | Dioscorea oppositifolia var. dukhunensis Prain & Burkill | Dioscorea oppositifolia var. linnaei Prain & Burkill | Dioscorea oppositifolia var. thwaitesii Prain & Burkill,4,Dioscorea oppositifolia L. | Dioscorea opposita Thunb. | Dioscorea oppositifolia var. dukhunensis Prain & Burkill | Dioscorea oppositifolia var. linnaei Prain & Burkill | Dioscorea oppositifolia var. thwaitesii Prain & Burkill,5,Chinese yam,Chinese yam | cinnamon vine | ma,3
Dioscorea polystachya Turcz. (Dioscorea batatas),HIGHERRANK,100,Dioscorea polystachya Turcz.,Dioscorea polystachya,2754732,2754732,ACCEPTED,0,Dioscorea polystachya,Dioscorea polystachya,Dioscorea polystachya Turcz.,Dioscorea polystachya Turcz. | Dioscorea batatas Decne. | Dioscorea batatas f. clavata Makino | Dioscorea batatas f. daikok Makino | Dioscorea batatas f. flabellata Makino | Dioscorea batatas f. rakuda Makino | Dioscorea batatas f. tsukune Makino | Dioscorea batatas subsp. clavata Makino | Dioscorea batatas subsp. daikok Makino | Dioscorea batatas subsp. flabellata Makino | Dioscorea batatas subsp. rakuda Makino | Dioscorea batatas subsp. tsukune Makino | Dioscorea cayenensis var. pseudobatatas Hauman | Dioscorea cayennensis subsp. pseudobatatas Hauman | Dioscorea decaisneana Carrière | Dioscorea doryphora Hance | Dioscorea polystachya f. elongata Nakai | Dioscorea polystachya f. tsukune Nakai | Dioscorea potaninii Prain & Burkill | Dioscorea pseudobatatas (Hauman) Herter | Dioscorea rosthornii Diels | Dioscorea swinhoei Rolfe,22,Dioscorea polystachya Turcz. | Dioscorea polystachya f. elongata Nakai | Dioscorea polystachya f. tsukune Nakai,3,Dioscorea polystachya Turcz. | Dioscorea batatas Decne. | Dioscorea batatas f. clavata Makino | Dioscorea batatas f. daikok Makino | Dioscorea batatas f. flabellata Makino | Dioscorea batatas f. rakuda Makino | Dioscorea batatas f. tsukune Makino | Dioscorea batatas subsp. clavata Makino | Dioscorea batatas subsp. daikok Makino | Dioscorea batatas subsp. flabellata Makino | Dioscorea batatas subsp. rakuda Makino | Dioscorea batatas subsp. tsukune Makino | Dioscorea cayenensis var. pseudobatatas Hauman | Dioscorea cayennensis subsp. pseudobatatas Hauman | Dioscorea decaisneana Carrière | Dioscorea doryphora Hance | Dioscorea polystachya f. elongata Nakai | Dioscorea polystachya f. tsukune Nakai | Dioscorea potaninii Prain & Burkill | Dioscorea pseudobatatas (Hauman) Herter | Dioscorea rosthornii Diels | Dioscorea swinhoei Rolfe,22,Chinese Yam,Chinese Yam | Chinese-potato | Cinnamon-vine | Yam,4
Dischidia bengalensis Colebr.,EXACT,100,Dischidia bengalensis Colebr.,Dischidia bengalensis,3571031,3571031,ACCEPTED,0,Dischidia bengalensis,Dischidia bengalensis,Dischidia bengalensis Colebr.,Dischidia bengalensis Colebr. | Dischidia bengalensis var. cuneifolia (Wall.) Kuntze | Dischidia bengalensis var. spathulata (Blume) Kuntze | Dischidia cuneifolia Wall. | Dischidia loeseneriana Schltr. | Dischidia pseudobenghalensis Costantin | Dischidia spathulata Blume,7,Dischidia bengalensis Colebr. | Dischidia bengalensis var. cuneifolia (Wall.) Kuntze | Dischidia bengalensis var. spathulata (Blume) Kuntze,3,Dischidia bengalensis Colebr. | Dischidia bengalensis var. cuneifolia (Wall.) Kuntze | Dischidia bengalensis var. spathulata (Blume) Kuntze | Dischidia cuneifolia Wall. | Dischidia loeseneriana Schltr. | Dischidia pseudobenghalensis Costantin | Dischidia spathulata Blume,7,,,0
Dischidia platyphylla Schltr.,EXACT,100,Dischidia platyphylla Schltr.,Dischidia platyphylla,3582027,3582027,ACCEPTED,0,Dischidia platyphylla,Dischidia platyphylla,Dischidia platyphylla Schltr.,Dischidia platyphylla Schltr.,1,Dischidia platyphylla Schltr.,1,Dischidia platyphylla Schltr.,1,,,0
Dischidia subulata Warb. Dischidia cordifolia,HIGHERRANK,100,Dischidia subulata Warb.,Dischidia subulata,7312659,7312659,ACCEPTED,0,Dischidia subulata,Dischidia subulata,Dischidia subulata Warb.,Dischidia subulata Warb.,1,Dischidia subulata Warb.,1,Dischidia subulata Warb.,1,,,0
